,name,style,ounces,brewery_name,city,state
73,Rules are Rules,German Pilsener,16.0,Against the Grain Brewery,Louisville, KY
74,Flesh Gourd'n,Pumpkin Ale,16.0,Against the Grain Brewery,Louisville, KY
75,Sho'nuff,Belgian Pale Ale,16.0,Against the Grain Brewery,Louisville, KY
76,Bloody Show,American Pilsner,16.0,Against the Grain Brewery,Louisville, KY
77,Rico Sauvin,American Double / Imperial IPA,16.0,Against the Grain Brewery,Louisville, KY
78,Coq de la Marche,Saison / Farmhouse Ale,16.0,Against the Grain Brewery,Louisville, KY
79,Kamen Knuddeln,American Wild Ale,16.0,Against the Grain Brewery,Louisville, KY
80,Pile of Face,American IPA,16.0,Against the Grain Brewery,Louisville, KY
81,The Brown Note,English Brown Ale,16.0,Against the Grain Brewery,Louisville, KY
82,Maylani's Coconut Stout,American Stout,16.0,Airways Brewing Company,Kent, WA
83,Oatmeal PSA,American Pale Ale (APA),16.0,Airways Brewing Company,Kent, WA
84,Pre Flight Pilsner,American Pilsner,16.0,Airways Brewing Company,Kent, WA
85,P-Town Pilsner,American Pilsner,12.0,Alameda Brewing,Portland, OR
86,Klickitat Pale Ale,American Pale Ale (APA),12.0,Alameda Brewing,Portland, OR
87,Yellow Wolf Imperial IPA,American Double / Imperial IPA,12.0,Alameda Brewing,Portland, OR
88,Freeride APA,American Pale Ale (APA),12.0,Alaskan Brewing Company,Juneau, AK
89,Alaskan Amber,Altbier,12.0,Alaskan Brewing Company,Juneau, AK
90,Hopalicious,American Pale Ale (APA),12.0,Ale Asylum,Madison, WI
91,Kentucky Kölsch,Kölsch,16.0,Alltech's Lexington Brewing Company,Lexington, KY
92,Kentucky IPA,American IPA,16.0,Alltech's Lexington Brewing Company,Lexington, KY
93,Dusty Trail Pale Ale,American Pale Ale (APA),16.0,Amnesia Brewing Company,Washougal, WA
94,Damnesia,American IPA,16.0,Amnesia Brewing Company,Washougal, WA
95,Desolation IPA,American IPA,16.0,Amnesia Brewing Company,Washougal, WA
96,Liberty Ale,American IPA,12.0,Anchor Brewing Company,San Francisco, CA
97,IPA,American IPA,12.0,Anchor Brewing Company,San Francisco, CA
98,Summer Wheat,American Pale Wheat Ale,12.0,Anchor Brewing Company,San Francisco, CA
99,California Lager,American Amber / Red Lager,12.0,Anchor Brewing Company,San Francisco, CA
100,Brotherhood Steam,California Common / Steam Beer,12.0,Anchor Brewing Company,San Francisco, CA
101,Blood Orange Gose,Gose,12.0,Anderson Valley Brewing Company,Boonville, CA
102,Keebarlin' Pale Ale,American Pale Ale (APA),12.0,Anderson Valley Brewing Company,Boonville, CA
103,"the Kimmie, the Yink and the Holy Gose",Gose,12.0,Anderson Valley Brewing Company,Boonville, CA
104,Fall Hornin',Pumpkin Ale,12.0,Anderson Valley Brewing Company,Boonville, CA
105,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,Anderson Valley Brewing Company,Boonville, CA
106,Summer Solstice,Cream Ale,12.0,Anderson Valley Brewing Company,Boonville, CA
107,Hop Ottin' IPA,American IPA,12.0,Anderson Valley Brewing Company,Boonville, CA
108,Boont Amber Ale,American Amber / Red Ale,12.0,Anderson Valley Brewing Company,Boonville, CA
109,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,Anderson Valley Brewing Company,Boonville, CA
110,El Steinber Dark Lager,Vienna Lager,16.0,Anderson Valley Brewing Company,Boonville, CA
111,Boont Amber Ale (2010),American Amber / Red Ale,12.0,Anderson Valley Brewing Company,Boonville, CA
112,Summer Solstice Cerveza Crema (2009),Cream Ale,12.0,Anderson Valley Brewing Company,Boonville, CA
113,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12.0,Anderson Valley Brewing Company,Boonville, CA
114,Winter Solstice,Winter Warmer,12.0,Anderson Valley Brewing Company,Boonville, CA
115,Hop Ottin' IPA (2011),American IPA,12.0,Anderson Valley Brewing Company,Boonville, CA
116,Boont Amber Ale (2011),American Amber / Red Ale,12.0,Anderson Valley Brewing Company,Boonville, CA
117,Summer Solstice (2011),Cream Ale,12.0,Anderson Valley Brewing Company,Boonville, CA
118,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12.0,Anderson Valley Brewing Company,Boonville, CA
119,Charlie's Rye IPA,American IPA,16.0,Angry Minnow,Hayward, WI
120,River Pig Pale Ale,American Pale Ale (APA),16.0,Angry Minnow Brewing Company,Hayward, WI
121,Oaky's Oatmeal Stout,Oatmeal Stout,16.0,Angry Minnow Brewing Company,Hayward, WI
122,Angry Orchard Apple Ginger,Cider,16.0,Angry Orchard Cider Company,Cincinnati, OH
123,Angry Orchard Crisp Apple,Cider,16.0,Angry Orchard Cider Company,Cincinnati, OH
124,Angry Orchard Crisp Apple,Cider,12.0,Angry Orchard Cider Company,Cincinnati, OH
125,Golden One,Belgian Pale Ale,12.0,Anthem Brewing Company,Oklahoma City, OK
126,Arjuna,Witbier,12.0,Anthem Brewing Company,Oklahoma City, OK
127,Uroboros,American Stout,12.0,Anthem Brewing Company,Oklahoma City, OK
128,Long Leaf,American IPA,16.0,Appalachian Mountain Brewery,Boone, NC
129,Honey Badger Blonde,American Blonde Ale,16.0,Appalachian Mountain Brewery,Boone, NC
130,Porter (a/k/a Black Gold Porter),American Porter,16.0,Appalachian Mountain Brewery,Boone, NC
131,Sky High Rye,American Pale Ale (APA),12.0,Arcadia Brewing Company,Battle Creek, MI
132,Whitsun,American Pale Wheat Ale,12.0,Arcadia Brewing Company,Battle Creek, MI
133,On-On Ale (2008),American Pale Ale (APA),12.0,Arctic Craft Brewery,Colorado Springs, CO
134,Quakertown Stout,American Double / Imperial Stout,12.0,Armadillo Ale Works,Denton, TX
135,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12.0,Armadillo Ale Works,Denton, TX
136,Mo's Gose,Gose,16.0,Armstrong Brewing Company,South San Francisco, CA
137,Green Bullet Organic India Pale Ale,American IPA,16.0,Asher Brewing Company,Boulder, CO
138,Rocket Girl,Kölsch,12.0,Asheville Brewing Company,Asheville, NC
139,Ninja Porter,American Porter,12.0,Asheville Brewing Company,Asheville, NC
140,Shiva IPA,American IPA,12.0,Asheville Brewing Company,Asheville, NC
141,Aslan Kölsch,Kölsch,16.0,Aslan Brewing Company,Bellingham, WA
142,Aslan IPA,American IPA,16.0,Aslan Brewing Company,Bellingham, WA
143,Aslan Amber,American Amber / Red Ale,16.0,Aslan Brewing Company,Bellingham, WA
144,This Season's Blonde,American Blonde Ale,12.0,Aspen Brewing Company,Aspen, CO
145,Independence Pass Ale,American IPA,12.0,Aspen Brewing Company,Aspen, CO
146,Trolley Stop Stout,American Stout,12.0,Astoria Brewing Company,Astoria, OR
147,Bitter Bitch Imperial IPA,American Double / Imperial IPA,12.0,Astoria Brewing Company,Astoria, OR
148,Poop Deck Porter,American Porter,12.0,Astoria Brewing Company,Astoria, OR
149,Old Red Beard Amber Ale,American Amber / Red Ale,12.0,Astoria Brewing Company,Astoria, OR
150,Hop A-Peel,American Double / Imperial IPA,16.0,Atwater Brewery,Detroit, MI
151,Vanilla Java Porter,American Porter,16.0,Atwater Brewery,Detroit, MI
152,Michelada,Fruit / Vegetable Beer,16.0,Atwater Brewery,Detroit, MI
153,Dirty Blonde Ale,American Blonde Ale,12.0,Atwater Brewery,Detroit, MI
154,Grand Circus IPA,American IPA,12.0,Atwater Brewery,Detroit, MI
155,Atwater's Lager,Munich Helles Lager,12.0,Atwater Brewery,Detroit, MI
156,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,16.0,Austin Beerworks,Austin, TX
157,Fire Eagle IPA,American IPA,12.0,Austin Beerworks,Austin, TX
158,Peacemaker,American Pale Ale (APA),12.0,Austin Beerworks,Austin, TX
