,name,style,ounces,brewery_name,city,state
560,Farmer Ted's Farmhouse Cream Ale,Cream Ale,12.0,Catawba Brewing Company,Morganton, NC
561,Whitecap Wit,Witbier,16.0,Catawba Island Brewing,Port Clinton, OH
562,Seiche Scottish Ale,Scottish Ale,16.0,Catawba Island Brewing,Port Clinton, OH
563,Peanut Butter Jelly Time,American Brown Ale,12.0,Catawba Valley Brewing Company,Morganton, NC
564,King Coconut,American Porter,12.0,Catawba Valley Brewing Company,Morganton, NC
565,Gone A-Rye,American Double / Imperial IPA,16.0,Cedar Creek Brewery,Seven Points, TX
566,Dankosaurus,American IPA,16.0,Cedar Creek Brewery,Seven Points, TX
567,Scruffy's Smoked Alt,Smoked Beer,16.0,Cedar Creek Brewery,Seven Points, TX
568,Elliott's Phoned Home Pale Ale,American Pale Ale (APA),16.0,Cedar Creek Brewery,Seven Points, TX
569,The Lawn Ranger,Cream Ale,16.0,Cedar Creek Brewery,Seven Points, TX
570,All American Blonde Ale,American Blonde Ale,12.0,Centennial Beer Company,Edwards, CO
571,All American Red Ale,American Amber / Red Ale,12.0,Centennial Beer Company,Edwards, CO
572,Main St. Virginia Ale,Altbier,12.0,Center of the Universe Brewing C...,Ashland, VA
573,Chin Music Amber Lager,American Amber / Red Lager,12.0,Center of the Universe Brewing C...,Ashland, VA
574,Main St. Virginia Ale,Altbier,12.0,Center of the Universe Brewing C...,Ashland, VA
575,Ray Ray’s Pale Ale,American Pale Ale (APA),12.0,Center of the Universe Brewing C...,Ashland, VA
576,Chai Ale,Herbed / Spiced Beer,16.0,Central Coast Brewing Company,San Luis Obispo, CA
577,Lucky Day IPA,American IPA,16.0,Central Coast Brewing Company,San Luis Obispo, CA
578,Terrace Hill Double IPA,American Double / Imperial IPA,16.0,Central Coast Brewing Company,San Luis Obispo, CA
579,Catch 23,American Black Ale,16.0,Central Coast Brewing Company,San Luis Obispo, CA
580,Stickin' In My Rye,Rye Beer,24.0,Champion Brewing Company,Charlottesville, VA
581,Black Me Stout,American Stout,12.0,Champion Brewing Company,Charlottesville, VA
582,Killer Kolsch,Kölsch,12.0,Champion Brewing Company,Charlottesville, VA
583,Missile IPA,American IPA,12.0,Champion Brewing Company,Charlottesville, VA
584,Enlighten,Kölsch,16.0,Chapman's Brewing,Angola, IN
585,Ale Cider,Fruit / Vegetable Beer,16.0,Chapman's Brewing,Angola, IN
586,Pail Ale,American Pale Ale (APA),16.0,Chapman's Brewing,Angola, IN
587,Englishman,English Brown Ale,16.0,Chapman's Brewing,Angola, IN
588,8 Barrel,American Strong Ale,16.0,Chatham Brewing,Chatham, NY
589,Oktoberfest,Märzen / Oktoberfest,16.0,Chatham Brewing,Chatham, NY
590,IPA #11,American IPA,16.0,Cheboygan Brewing Company,Cheboygan, MI
591,Blood Orange Honey,Fruit / Vegetable Beer,16.0,Cheboygan Brewing Company,Cheboygan, MI
592,Lighthouse Amber,Altbier,16.0,Cheboygan Brewing Company,Cheboygan, MI
593,Bay of Bengal Double IPA (2014),American Double / Imperial IPA,12.0,Christian Moerlein Brewing Company,Cincinnati, OH
594,Churchkey Pilsner Style Beer,American Pilsner,12.0,Churchkey Can Company,Seattle, WA
595,First Press,Cider,12.0,Ciderboys,Stevens Point, WI
596,Magic Apple,Cider,12.0,Ciderboys,Stevens Point, WI
597,Cubano Espresso,Bock,12.0,Cigar City Brewing Company,Tampa, FL
598,Operation Homefront,American IPA,12.0,Cigar City Brewing Company,Tampa, FL
599,Wandering Pelican,American Black Ale,12.0,Cigar City Brewing Company,Tampa, FL
600,Sugar Plum,American Brown Ale,12.0,Cigar City Brewing Company,Tampa, FL
601,Oktoberfest,Märzen / Oktoberfest,12.0,Cigar City Brewing Company,Tampa, FL
602,Puppy's Breath Porter,American Porter,12.0,Cigar City Brewing Company,Tampa, FL
603,Happening Now,American IPA,12.0,Cigar City Brewing Company,Tampa, FL
604,Hopped on the High Seas (Hop #529),American IPA,12.0,Cigar City Brewing Company,Tampa, FL
605,Hopped on the High Seas (Calypso),American IPA,12.0,Cigar City Brewing Company,Tampa, FL
606,Wiregrass Post-Prohibition Ale,American Pale Ale (APA),12.0,Cigar City Brewing Company,Tampa, FL
607,Dry-Hopped On The High Seas Caribbean-Style IPA,American IPA,12.0,Cigar City Brewing Company,Tampa, FL
608,Hopped on the High Seas (Citra),American IPA,12.0,Cigar City Brewing Company,Tampa, FL
609,Hopped on the High Seas (Ahtanum),American IPA,12.0,Cigar City Brewing Company,Tampa, FL
610,Gwar Beer,American Pale Ale (APA),12.0,Cigar City Brewing Company,Tampa, FL
611,Tropical Heatwave,American Pale Wheat Ale,16.0,Cigar City Brewing Company,Tampa, FL
612,Humidor Series India Pale Ale,American IPA,12.0,Cigar City Brewing Company,Tampa, FL
613,Jai Alai IPA Aged on White Oak,American IPA,12.0,Cigar City Brewing Company,Tampa, FL
614,José Martí American Porter,American Porter,12.0,Cigar City Brewing Company,Tampa, FL
615,Invasion Pale Ale,American Pale Ale (APA),12.0,Cigar City Brewing Company,Tampa, FL
616,Maduro Brown Ale,English Brown Ale,12.0,Cigar City Brewing Company,Tampa, FL
617,Maduro Brown Ale,American Brown Ale,12.0,Cigar City Brewing Company,Tampa, FL
618,Hotter Than Helles Lager,Munich Helles Lager,12.0,Cigar City Brewing Company,Tampa, FL
619,Tocobaga Red Ale,American Amber / Red Ale,12.0,Cigar City Brewing Company,Tampa, FL
620,Jai Alai IPA,American IPA,12.0,Cigar City Brewing Company,Tampa, FL
621,Florida Cracker Belgian Wit,Witbier,12.0,Cigar City Brewing Company,Tampa, FL
622,Shark Tracker Light lager,Light Lager,12.0,Cisco Brewers,Nantucket, MA
623,Pumple Drumkin,Pumpkin Ale,12.0,Cisco Brewers,Nantucket, MA
624,Grey Lady,Witbier,12.0,Cisco Brewers,Nantucket, MA
625,Summer of Lager,Munich Helles Lager,12.0,Cisco Brewers,Nantucket, MA
626,Indie Pale Ale,American IPA,12.0,Cisco Brewers,Nantucket, MA
627,Sankaty Light Lager,Light Lager,12.0,Cisco Brewers,Nantucket, MA
628,Whale's Tale Pale Ale,English Pale Ale,12.0,Cisco Brewers,Nantucket, MA
629,Jacaranada Rye IPA,American IPA,16.0,Claremont Craft Ales,Claremont, CA
630,Cascadian Dark Ale,American Black Ale,12.0,Coalition Brewing Company,Portland, OR
631,Wheat the People,American Pale Wheat Ale,16.0,Coalition Brewing Company,Portland, OR
632,Tybee Island Blonde,American Blonde Ale,12.0,Coastal Empire Beer Company,Savannah, GA
633,Savannah Brown Ale,American Brown Ale,12.0,Coastal Empire Beer Company,Savannah, GA
634,Rhode Island Blueberry,Kölsch,12.0,Coastal Extreme Brewing Company,Newport, RI
635,Newport Storm IPA,American IPA,12.0,Coastal Extreme Brewing Company,Newport, RI
636,Hurricane Amber Ale (2004),American Amber / Red Ale,12.0,Coastal Extreme Brewing Company,Newport, RI
637,Hurricane Amber Ale,American Amber / Red Ale,12.0,Coastal Extreme Brewing Company,Newport, RI
638,Big Blue Van,Fruit / Vegetable Beer,16.0,College Street Brewhouse and Pub,Lake Havasu City, AZ
639,Des Moines IPA,American IPA,16.0,Confluence Brewing Company,Des Moines, IA
640,Capital Gold Golden Lager,German Pilsener,16.0,Confluence Brewing Company,Des Moines, IA
641,Farmer John's Multi-Grain Ale,American Blonde Ale,16.0,Confluence Brewing Company,Des Moines, IA
642,Behemoth,American Pilsner,12.0,Core Brewing & Distilling Company,Springdale, AR
643,Arkansas Red,American Amber / Red Ale,12.0,Core Brewing & Distilling Company,Springdale, AR
644,Core Oatmeal Stout,Oatmeal Stout,12.0,Core Brewing & Distilling Company,Springdale, AR
645,Core ESB,Extra Special / Strong Bitter (ESB),12.0,Core Brewing & Distilling Company,Springdale, AR
646,Chester's Beer (2005),American Pale Lager,12.0,Cottrell Brewing,Pawcatuck, CT
647,Heiner Brau Kölsch,Kölsch,12.0,Covington Brewhouse,Covington, LA
648,Trigger Blonde Ale,American Blonde Ale,16.0,Crabtree Brewing Company,Greeley, CO
649,Crabtree Oatmeal Stout,Oatmeal Stout,16.0,Crabtree Brewing Company,Greeley, CO
650,Eclipse Black IPA,American Black Ale,16.0,Crabtree Brewing Company,Greeley, CO
651,Neomexicanus Native,American Pale Ale (APA),12.0,Crazy Mountain Brewing Company,Edwards, CO
652,Old Soul,Belgian Strong Pale Ale,12.0,Crazy Mountain Brewing Company,Edwards, CO
653,Snowcat Coffee Stout,American Stout,12.0,Crazy Mountain Brewing Company,Edwards, CO
654,WinterWonderGrass Festival Ale,American Amber / Red Ale,12.0,Crazy Mountain Brewing Company,Edwards, CO
655,Boohai Red Ale,American Amber / Red Ale,12.0,Crazy Mountain Brewing Company,Edwards, CO
656,Lava Lake Wit,Witbier,12.0,Crazy Mountain Brewing Company,Edwards, CO
657,Mountain Livin' Pale Ale,American Pale Ale (APA),12.0,Crazy Mountain Brewing Company,Edwards, CO
658,Crazy Mountain Amber Ale,American Amber / Red Ale,12.0,Crazy Mountain Brewing Company,Edwards, CO
659,Tropicalia,American IPA,12.0,Creature Comforts,Athens, GA
660,Athena,Berliner Weissbier,12.0,Creature Comforts,Athens, GA
661,Aviator Raspberry Blonde,American Blonde Ale,12.0,Crooked Fence Brewing Company,Garden City, ID
662,3 Picket Porter,American Porter,12.0,Crooked Fence Brewing Company,Garden City, ID
663,Rusty Nail Pale Ale,American Pale Ale (APA),12.0,Crooked Fence Brewing Company,Garden City, ID
664,Red Water Irish Style Red,American Amber / Red Ale,12.0,Crow Peak Brewing Company,Spearfish, SD
665,Mjöllnir,Herbed / Spiced Beer,12.0,Crow Peak Brewing Company,Spearfish, SD
666,Bear Butte Nut Brown Ale,American Brown Ale,12.0,Crow Peak Brewing Company,Spearfish, SD
667,Easy Livin' Summer Ale,American Blonde Ale,12.0,Crow Peak Brewing Company,Spearfish, SD
668,Canyon Cream Ale,Cream Ale,12.0,Crow Peak Brewing Company,Spearfish, SD
669,Pile O'Dirt Porter,American Porter,12.0,Crow Peak Brewing Company,Spearfish, SD
670,11th Hour IPA,American IPA,12.0,Crow Peak Brewing Company,Spearfish, SD
671,South Ridge Amber Ale,American Amber / Red Ale,16.0,Crystal Springs Brewing Company,Boulder, CO
672,Summertime Ale,Kölsch,16.0,Crystal Springs Brewing Company,Boulder, CO
673,Lost River Blonde Ale,American Blonde Ale,16.0,Cutters Brewing Company,Avon, IN
674,Monon Wheat,Witbier,16.0,Cutters Brewing Company,Avon, IN
675,Floyd's Folly,Scottish Ale,16.0,Cutters Brewing Company,Avon, IN
676,Half Court IPA,American IPA,16.0,Cutters Brewing Company,Avon, IN
677,Geary's Pale Ale,English Pale Ale,12.0,D.L. Geary Brewing Company,Portland, ME
678,Geary's Summer Ale,Kölsch,12.0,D.L. Geary Brewing Company,Portland, ME
679,Stone of Arbroath,Scotch Ale / Wee Heavy,12.0,DC Brau Brewing Company,Washington, DC
680,The Tradition,American Blonde Ale,12.0,DC Brau Brewing Company,Washington, DC
681,El Hefe Speaks,Hefeweizen,12.0,DC Brau Brewing Company,Washington, DC
682,Penn Quarter Porter,American Porter,12.0,DC Brau Brewing Company,Washington, DC
683,On the Wings of Armageddon,American Double / Imperial IPA,12.0,DC Brau Brewing Company,Washington, DC
684,The Corruption,American IPA,12.0,DC Brau Brewing Company,Washington, DC
685,The Citizen,Belgian Pale Ale,12.0,DC Brau Brewing Company,Washington, DC
686,The Public,American Pale Ale (APA),12.0,DC Brau Brewing Company,Washington, DC
687,Dank IPA,American IPA,16.0,Dad & Dude's Breweria,Aurora, CO
688,Dank IPA (2012),American IPA,16.0,Dad & Dude's Breweria,Aurora, CO
689,Lift Off IPA,American IPA,16.0,Daredevil Brewing Company,Shelbyville, IN
690,BrewFarm Select Golden Lager,American Pale Lager,12.0,Dave's Brewfarm,Wilson, WI
691,Sprocket Blonde Ale (2006),American Blonde Ale,12.0,David's Ale Works,Diamond Springs, CA
692,Sprocket Pale Ale (2006),American Pale Ale (APA),12.0,David's Ale Works,Diamond Springs, CA
693,Dead Armadillo Amber Ale,American Amber / Red Ale,12.0,Dead Armadillo Craft Brewing,Tulsa, OK
694,Neato Bandito,Euro Pale Lager,12.0,Deep Ellum Brewing Company,Dallas, TX
695,Oak Cliff Coffee Ale,American Brown Ale,12.0,Deep Ellum Brewing Company,Dallas, TX
696,Dream Crusher Double IPA,American Double / Imperial IPA,12.0,Deep Ellum Brewing Company,Dallas, TX
697,Deep Ellum Pale Ale,American Pale Ale (APA),12.0,Deep Ellum Brewing Company,Dallas, TX
698,Double Brown Stout,Baltic Porter,12.0,Deep Ellum Brewing Company,Dallas, TX
699,Farmhouse Wit,Saison / Farmhouse Ale,16.0,Deep Ellum Brewing Company,Dallas, TX
700,Rye Pils Session Lager,German Pilsener,12.0,Deep Ellum Brewing Company,Dallas, TX
701,Dallas Blonde,American Blonde Ale,12.0,Deep Ellum Brewing Company,Dallas, TX
702,Deep Ellum IPA,American IPA,12.0,Deep Ellum Brewing Company,Dallas, TX
703,Thrasher Session India Pale Ale,American IPA,12.0,Defiance Brewing Company,Hays, KS
704,Gutch English Style Mild Ale,English Pale Mild Ale,12.0,Defiance Brewing Company,Hays, KS
705,Chuli Stout,Irish Dry Stout,12.0,Denali Brewing Company,Talkeetna, AK
706,Mother Ale,American Blonde Ale,12.0,Denali Brewing Company,Talkeetna, AK
707,Twister Creek India Pale Ale,American IPA,12.0,Denali Brewing Company,Talkeetna, AK
708,Single Engine Red,Irish Red Ale,12.0,Denali Brewing Company,Talkeetna, AK
709,Incredible Pedal IPA,American IPA,12.0,Denver Beer Company,Denver, CO
710,Graham Cracker Porter,American Porter,12.0,Denver Beer Company,Denver, CO
711,Mirror Pond Pale Ale,American Pale Ale (APA),12.0,Deschutes Brewery,Bend, OR
712,Weissenheimer,Hefeweizen,12.0,Destihl Brewery,Bloomington, IL
713,Abbey's Single (2015- ),Abbey Single Ale,12.0,Destihl Brewery,Bloomington, IL
714,Vertex IPA,American IPA,12.0,Destihl Brewery,Bloomington, IL
715,Here Gose Nothin',Gose,12.0,Destihl Brewery,Bloomington, IL
716,Strawberry Blonde,Fruit / Vegetable Beer,12.0,Destihl Brewery,Bloomington, IL
717,Hoperation Overload,American Double / Imperial IPA,12.0,Destihl Brewery,Bloomington, IL
718,Abbey's Single Ale (Current),Abbey Single Ale,12.0,Destihl Brewery,Bloomington, IL
719,Bravo Four Point,American Pale Ale (APA),12.0,Devil's Backbone Brewing Company,Lexington, VA
720,Striped Bass Pale Ale,American Pale Ale (APA),12.0,Devil's Backbone Brewing Company,Lexington, VA
721,Deadicated Amber,American Amber / Red Ale,16.0,Devil's Canyon Brewery,Belmont, CA
722,Kaleidoscope Collaboration 2012,American Black Ale,16.0,Devil's Canyon Brewery,Belmont, CA
723,California Sunshine Rye IPA,American IPA,16.0,Devil's Canyon Brewery,Belmont, CA
724,Full Boar Scotch Ale,Scotch Ale / Wee Heavy,16.0,Devil's Canyon Brewery,Belmont, CA
725,12 Man Pale Ale,American Pale Ale (APA),12.0,Dick's Brewing Company,Centralia, WA
726,Filthy Hoppin' IPA,American IPA,16.0,Dirty Bucket Brewing Company,Woodinville, WA
727,Dock Street Amber Beer (1992),American Amber / Red Ale,12.0,Dock Street Brewery,Philadelphia, PA
728,Dolores River Hefeweizen,Hefeweizen,16.0,Dolores River Brewery,Dolores, CO
729,Dolores River ESB,Extra Special / Strong Bitter (ESB),16.0,Dolores River Brewery,Dolores, CO
730,Snaggletooth Double Pale Ale,American Double / Imperial IPA,16.0,Dolores River Brewery,Dolores, CO
731,Dolores River Pale Ale,American Pale Ale (APA),16.0,Dolores River Brewery,Dolores, CO
732,Dolores River Dry Stout,Irish Dry Stout,16.0,Dolores River Brewery,Dolores, CO
733,Dolores River Mild,English Dark Mild Ale,16.0,Dolores River Brewery,Dolores, CO
734,Cranberry Blend,Cider,12.0,Downeast Cider House,Leominster, MA
735,Orignal Blend,Cider,12.0,Downeast Cider House,Leominster, MA
736,Hop Abomination,American IPA,12.0,Dry Dock Brewing Company,Aurora, CO
737,Apricot Blonde,Fruit / Vegetable Beer,12.0,Dry Dock Brewing Company,Aurora, CO
738,Dry Dock Hefeweizen,Hefeweizen,12.0,Dry Dock Brewing Company,Aurora, CO
739,Dry Dock Amber Ale,American Amber / Red Ale,12.0,Dry Dock Brewing Company,Aurora, CO
740,Category 3 IPA,American IPA,12.0,Due South Brewing Company,Boynton Beach, FL
741,Dundee Summer Wheat Beer,American Pale Wheat Ale,12.0,Dundee Brewing Company,Rochester, NY
742,Pumpkin Patch Ale,Pumpkin Ale,16.0,Eddyline Brewery & Restaurant,Buena Vista, CO
743,Crank Yanker IPA,American IPA,16.0,Eddyline Brewery & Restaurant,Buena Vista, CO
744,River Runners Pale Ale,American Pale Ale (APA),16.0,Eddyline Brewery & Restaurant,Buena Vista, CO
745,Pumpkin Patch Ale (2012),Pumpkin Ale,16.0,Eddyline Brewery & Restaurant,Buena Vista, CO
746,Mountain Fairy Raspberry Wheat,Fruit / Vegetable Beer,16.0,Eddyline Brewery & Restaurant,Buena Vista, CO
747,Boater Beer,German Pilsener,16.0,Eddyline Brewery & Restaurant,Buena Vista, CO
748,Crank Yanker IPA (2011),American IPA,16.0,Eddyline Brewery & Restaurant,Buena Vista, CO
749,Bleeding Buckeye Red Ale,Extra Special / Strong Bitter (ESB),16.0,Elevator Brewing Company,Columbus, OH
750,Dottie Seattle Lager,American Amber / Red Lager,16.0,Emerald City Beer Company,Seattle, WA
751,Nut Sack Imperial Brown Ale,American Brown Ale,12.0,Engine 15 Brewing,Jacksonville Beach, FL
752,Underachiever,American Adjunct Lager,16.0,Engine House 9,Tacoma, WA
753,Lil' Brainless Raspberries,Fruit / Vegetable Beer,12.0,Epic Brewing,Denver, CO
754,Element 29,American Pale Ale (APA),12.0,Epic Brewing,Denver, CO
755,Hop Syndrome,American Pale Lager,12.0,Epic Brewing,Denver, CO
756,Escape to Colorado,American IPA,12.0,Epic Brewing,Denver, CO
757,Little Sister India Style Session Ale,American IPA,12.0,Everybody's Brewing,White Salmon, WA
758,Country Boy IPA,American IPA,12.0,Everybody's Brewing,White Salmon, WA
759,Blonde Czich,American Blonde Ale,16.0,Evil Czech Brewery,Mishawaka, IN
760,White Reaper,Belgian IPA,16.0,Evil Czech Brewery,Mishawaka, IN
761,Bobblehead,American Pale Wheat Ale,16.0,Evil Czech Brewery,Mishawaka, IN
762,Lucky Dog,American Pale Ale (APA),16.0,Evil Czech Brewery,Mishawaka, IN
763,Voodoo,American Porter,16.0,Evil Czech Brewery,Mishawaka, IN
764,General George Patton Pilsner,Czech Pilsener,16.0,Evil Czech Brewery,Mishawaka, IN
765,Nomader Weiss,Berliner Weissbier,12.0,Evil Twin Brewing,Brooklyn, NY
766,Molotov Lite,American Double / Imperial IPA,16.0,Evil Twin Brewing,Brooklyn, NY
767,Hipster Ale (Two Roads Brewing),American Pale Ale (APA),12.0,Evil Twin Brewing,Brooklyn, NY
768,Bikini Beer,American IPA,12.0,Evil Twin Brewing,Brooklyn, NY
769,Hipster Ale (Westbrook Brewing),American Pale Ale (APA),12.0,Evil Twin Brewing,Brooklyn, NY
770,Iron Horse Pale Ale,American Pale Ale (APA),12.0,Fargo Brewing Company,Fargo, ND
771,Stone's Throw IPA,Scottish Ale,12.0,Fargo Brewing Company,Fargo, ND
772,Wood Chipper India Pale Ale,American IPA,12.0,Fargo Brewing Company,Fargo, ND
773,Trail Head,American Pale Ale (APA),12.0,Fat Head's Brewery,Middleburg Heights, OH
774,Hop Stalker Fresh Hop IPA,American IPA,16.0,Fat Head's Brewery,Middleburg Heights, OH
775,Sudice American Stout,American Stout,16.0,Fate Brewing Company,Boulder, CO
776,Parcae Belgian Style Pale Ale,Belgian Pale Ale,16.0,Fate Brewing Company,Boulder, CO
777,Norns Roggenbier,Roggenbier,16.0,Fate Brewing Company,Boulder, CO
778,Laimas Kölsch Style Ale,Kölsch,16.0,Fate Brewing Company,Boulder, CO
779,Moirai India Pale Ale,American IPA,16.0,Fate Brewing Company,Boulder, CO
780,Loki Red Ale,American Amber / Red Ale,16.0,Fearless Brewing Company,Estacada, OR
781,Peaches & Cream,Fruit / Vegetable Beer,16.0,Fearless Brewing Company,Estacada, OR
782,Quaff India Style Session Ale,American IPA,16.0,Fearless Brewing Company,Estacada, OR
783,Loki Red Ale (2013),American Amber / Red Ale,16.0,Fearless Brewing Company,Estacada, OR
784,Mjolnir Imperial IPA,American Double / Imperial IPA,16.0,Fearless Brewing Company,Estacada, OR
785,Fearless Scottish Ale,Scottish Ale,16.0,Fearless Brewing Company,Estacada, OR
786,Mastermind,American Double / Imperial IPA,12.0,Fiddlehead Brewing Company,Shelburne, VT
787,Hyzer Flip,American Double / Imperial IPA,16.0,Fiddlehead Brewing Company,Shelburne, VT
788,Second Fiddle,American Double / Imperial IPA,16.0,Fiddlehead Brewing Company,Shelburne, VT
789,Hodad Porter,American Porter,16.0,Fiddlehead Brewing Company,Shelburne, VT
790,Weiss Weiss Baby,Kristalweizen,12.0,Figueroa Mountain Brewing Company,Buellton, CA
791,Czech Yo Self,Czech Pilsener,12.0,Figueroa Mountain Brewing Company,Buellton, CA
792,FMB 101,Kölsch,12.0,Figueroa Mountain Brewing Company,Buellton, CA
793,Hardcore Chimera,American Double / Imperial IPA,16.0,Finch's Beer Company,Chicago, IL
794,Sobek & Set,American Black Ale,16.0,Finch's Beer Company,Chicago, IL
795,Nuclear Winter,Belgian Strong Dark Ale,16.0,Finch's Beer Company,Chicago, IL
796,Wet Hot American Wheat Ale,American Pale Wheat Ale,16.0,Finch's Beer Company,Chicago, IL
797,Secret Stache Stout,American Stout,16.0,Finch's Beer Company,Chicago, IL
798,Fascist Pig Ale,American Amber / Red Ale,16.0,Finch's Beer Company,Chicago, IL
799,Cut Throat Pale Ale,American Pale Ale (APA),16.0,Finch's Beer Company,Chicago, IL
800,Threadless IPA,American IPA,16.0,Finch's Beer Company,Chicago, IL
801,Cut Throat Pale Ale (2011),American Pale Ale (APA),16.0,Finch's Beer Company,Chicago, IL
802,Golden Wing Blonde Ale,American Blonde Ale,16.0,Finch's Beer Company,Chicago, IL
803,Easy Jack,American IPA,12.0,Firestone Walker Brewing Company,Paso Robles, CA
804,Union Jack,American IPA,12.0,Firestone Walker Brewing Company,Paso Robles, CA
805,Pivo Pils,German Pilsener,12.0,Firestone Walker Brewing Company,Paso Robles, CA
806,805 Blonde Ale,American Blonde Ale,12.0,Firestone Walker Brewing Company,Paso Robles, CA
807,805,American Blonde Ale,12.0,Firestone Walker Brewing Company,Paso Robles, CA
808,Deflator,Doppelbock,16.0,Flat 12 Bierwerks,Indianapolis, IN
809,Hinchtown Hammer Down,American Blonde Ale,16.0,Flat 12 Bierwerks,Indianapolis, IN
810,Half Cycle IPA,American IPA,16.0,Flat 12 Bierwerks,Indianapolis, IN
811,Inclined Plane Ale,American IPA,12.0,Flat Rock Brewing Company,Smithton, PA
812,Moped Traveler,American Pale Ale (APA),16.0,Flesk Brewing Company,Lombard, IL
813,Snake Dog IPA,American IPA,12.0,Flying Dog Brewery,Frederick, MD
814,Underdog Atlantic Lager,American Pale Lager,12.0,Flying Dog Brewery,Frederick, MD
815,Flying Mouse 8,American Porter,12.0,Flying Mouse Brewery,Troutville, VA
816,Flying Mouse 4,American IPA,12.0,Flying Mouse Brewery,Troutville, VA
817,La Ferme Urbaine Farmhouse Ale,Saison / Farmhouse Ale,12.0,Foolproof Brewing Company,Pawtucket, RI
818,Backyahd IPA,American IPA,12.0,Foolproof Brewing Company,Pawtucket, RI
819,Raincloud Robust Porter,American Porter,12.0,Foolproof Brewing Company,Pawtucket, RI
820,Barstool American Golden Ale,American Blonde Ale,12.0,Foolproof Brewing Company,Pawtucket, RI
821,What the Butler Saw,Witbier,12.0,Forgotten Boardwalk,Cherry Hill, NJ
822,1916 Shore Shiver,American IPA,12.0,Forgotten Boardwalk,Cherry Hill, NJ
823,Quick WIT,Belgian Pale Ale,12.0,Fort George Brewery,Astoria, OR
824,The Optimist,American IPA,12.0,Fort George Brewery,Astoria, OR
825,Suicide Squeeze IPA,American IPA,16.0,Fort George Brewery,Astoria, OR
826,Java the Hop,American IPA,16.0,Fort George Brewery,Astoria, OR
827,Next Adventure Black IPA,American Black Ale,16.0,Fort George Brewery,Astoria, OR
828,3-Way IPA (2013),American IPA,16.0,Fort George Brewery,Astoria, OR
829,Tender Loving Empire NWPA,American Pale Ale (APA),16.0,Fort George Brewery,Astoria, OR
830,Quick Wit Belgianesque Ale,Witbier,16.0,Fort George Brewery,Astoria, OR
831,Sunrise Oatmeal Pale Ale,American Pale Ale (APA),16.0,Fort George Brewery,Astoria, OR
832,Cavatica Stout,American Double / Imperial Stout,16.0,Fort George Brewery,Astoria, OR
833,1811 Lager,American Amber / Red Lager,16.0,Fort George Brewery,Astoria, OR
834,Vortex IPA,American IPA,16.0,Fort George Brewery,Astoria, OR
835,Fort Pitt Ale,American Amber / Red Ale,12.0,Fort Pitt Brewing Company,Latrobe, PA
836,Park,American Pale Wheat Ale,12.0,Fort Point Beer Company,San Francisco, CA
837,Westfalia,American Amber / Red Ale,12.0,Fort Point Beer Company,San Francisco, CA
838,KSA,Kölsch,12.0,Fort Point Beer Company,San Francisco, CA
839,Villager,American IPA,12.0,Fort Point Beer Company,San Francisco, CA
840,Dirty Bastard,Scotch Ale / Wee Heavy,12.0,Founders Brewing Company,Grand Rapids, MI
841,Centennial IPA,American IPA,12.0,Founders Brewing Company,Grand Rapids, MI
842,All Day IPA,American IPA,12.0,Founders Brewing Company,Grand Rapids, MI
843,El Chingon IPA,American IPA,12.0,Four Corners Brewing Company,Dallas, TX
844,Block Party Robust Porter,American Porter,12.0,Four Corners Brewing Company,Dallas, TX
845,Local Buzz,American Blonde Ale,12.0,Four Corners Brewing Company,Dallas, TX
846,Feel Like Maplin' Love,Oatmeal Stout,16.0,Four Fathers Brewing ,Valparaiso, IN
847,Father's Beer,Belgian Pale Ale,16.0,Four Fathers Brewing ,Valparaiso, IN
848,The 26th,American IPA,16.0,Four Fathers Brewing ,Valparaiso, IN
849,The Gadget,American IPA,16.0,Four Fathers Brewing ,Valparaiso, IN
850,Leprechaun Lager,American Pale Lager,12.0,Four Horsemen Brewing Company,South Bend, IN
851,Sunbru Kölsch,Kölsch,12.0,Four Peaks Brewing Company,Tempe, AZ
852,Kilt Lifter,Scotch Ale,12.0,Four Peaks Brewing Company,Tempe, AZ
853,Pumpkin Porter,American Porter,12.0,Four Peaks Brewing Company,Tempe, AZ
854,Four Peaks Peach Ale,Fruit / Vegetable Beer,12.0,Four Peaks Brewing Company,Tempe, AZ
855,Hop Knot IPA,American IPA,12.0,Four Peaks Brewing Company,Tempe, AZ
856,Kilt Lifter Scottish-Style Ale (2009),Scottish Ale,12.0,Four Peaks Brewing Company,Tempe, AZ
857,Sunbru Kölsch,Kölsch,12.0,Four Peaks Brewing Company,Tempe, AZ
858,Four String Vanilla Porter,American Porter,12.0,Four String Brewing Company,Columbus, OH
859,Suncaster Summer Wheat,American Pale Wheat Ale,12.0,Four String Brewing Company,Columbus, OH
860,Brass Knuckle Pale Ale,American Pale Ale (APA),12.0,Four String Brewing Company,Columbus, OH
861,Big Star White IPA,American White IPA,12.0,Four String Brewing Company,Columbus, OH
862,Old Detroit,American Amber / Red Ale,12.0,Frankenmuth Brewery,Frankenmuth, MI
863,Batch 69 IPA,American IPA,12.0,Frankenmuth Brewery,Frankenmuth, MI
864,Twisted Helles Summer Lager,Munich Helles Lager,12.0,Frankenmuth Brewery,Frankenmuth, MI
865,OktoberFiesta,Oktoberfest,12.0,Freetail Brewing Company,San Antonio, TX
866,Texicali ,American Brown Ale,12.0,Freetail Brewing Company,San Antonio, TX
