name,style,ounces,brewery_name,city,state
Maylani's Coconut Stout,Others,16.0,Airways Brewing Company,Kent,WA
Oatmeal PSA,Pale Ale,16.0,Airways Brewing Company,Kent,WA
Pre Flight Pilsner,Pilsner,16.0,Airways Brewing Company,Kent,WA
P-Town Pilsner,Pilsner,12.0,Alameda Brewing,Portland,OR
Klickitat Pale Ale,Pale Ale,12.0,Alameda Brewing,Portland,OR
Yellow Wolf Imperial IPA,Double / Imperial IPA,12.0,Alameda Brewing,Portland,OR
Freeride APA,Pale Ale,12.0,Alaskan Brewing Company,Juneau,AK
Alaskan Amber,Altbier,12.0,Alaskan Brewing Company,Juneau,AK
Hopalicious,Pale Ale,12.0,Ale Asylum,Madison,WI
Kentucky Kölsch,Others,16.0,Alltech's Lexington Brewing Company,Lexington,KY
Kentucky IPA,India Pale Ale,16.0,Alltech's Lexington Brewing Company,Lexington,KY
Dusty Trail Pale Ale,Pale Ale,16.0,Amnesia Brewing Company,Washougal,WA
Damnesia,India Pale Ale,16.0,Amnesia Brewing Company,Washougal,WA
Desolation IPA,India Pale Ale,16.0,Amnesia Brewing Company,Washougal,WA
Liberty Ale,India Pale Ale,12.0,Anchor Brewing Company,San Francisco,CA
IPA,India Pale Ale,12.0,Anchor Brewing Company,San Francisco,CA
Summer Wheat,Wheat Ale,12.0,Anchor Brewing Company,San Francisco,CA
California Lager,Others,12.0,Anchor Brewing Company,San Francisco,CA
Brotherhood Steam,Others,12.0,Anchor Brewing Company,San Francisco,CA
Blood Orange Gose,Others,12.0,Anderson Valley Brewing Company,Boonville,CA
Keebarlin' Pale Ale,Pale Ale,12.0,Anderson Valley Brewing Company,Boonville,CA
"the Kimmie, the Yink and the Holy Gose",Others,12.0,Anderson Valley Brewing Company,Boonville,CA
Fall Hornin',Others,12.0,Anderson Valley Brewing Company,Boonville,CA
Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,Anderson Valley Brewing Company,Boonville,CA
Summer Solstice,Cream Ale,12.0,Anderson Valley Brewing Company,Boonville,CA
Hop Ottin' IPA,India Pale Ale,12.0,Anderson Valley Brewing Company,Boonville,CA
Boont Amber Ale,Amber / Red Ale,12.0,Anderson Valley Brewing Company,Boonville,CA
Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,Anderson Valley Brewing Company,Boonville,CA
El Steinber Dark Lager,Vienna,16.0,Anderson Valley Brewing Company,Boonville,CA
Boont Amber Ale (2010),Amber / Red Ale,12.0,Anderson Valley Brewing Company,Boonville,CA
Summer Solstice Cerveza Crema (2009),Cream Ale,12.0,Anderson Valley Brewing Company,Boonville,CA
Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12.0,Anderson Valley Brewing Company,Boonville,CA
Winter Solstice,Others,12.0,Anderson Valley Brewing Company,Boonville,CA
Hop Ottin' IPA (2011),India Pale Ale,12.0,Anderson Valley Brewing Company,Boonville,CA
Boont Amber Ale (2011),Amber / Red Ale,12.0,Anderson Valley Brewing Company,Boonville,CA
Summer Solstice (2011),Cream Ale,12.0,Anderson Valley Brewing Company,Boonville,CA
Poleeko Gold Pale Ale (2009),Pale Ale,12.0,Anderson Valley Brewing Company,Boonville,CA
Charlie's Rye IPA,India Pale Ale,16.0,Angry Minnow,Hayward,WI
River Pig Pale Ale,Pale Ale,16.0,Angry Minnow Brewing Company,Hayward,WI
Oaky's Oatmeal Stout,Oatmeal Stout,16.0,Angry Minnow Brewing Company,Hayward,WI
Angry Orchard Apple Ginger,Others,16.0,Angry Orchard Cider Company,Cincinnati,OH
Angry Orchard Crisp Apple,Others,16.0,Angry Orchard Cider Company,Cincinnati,OH
Angry Orchard Crisp Apple,Others,12.0,Angry Orchard Cider Company,Cincinnati,OH
Golden One,Pale Ale,12.0,Anthem Brewing Company,Oklahoma City,OK
Arjuna,Witbier,12.0,Anthem Brewing Company,Oklahoma City,OK
Uroboros,Others,12.0,Anthem Brewing Company,Oklahoma City,OK
Long Leaf,India Pale Ale,16.0,Appalachian Mountain Brewery,Boone,NC
Honey Badger Blonde,Blonde Ale,16.0,Appalachian Mountain Brewery,Boone,NC
Porter (a/k/a Black Gold Porter),Porter,16.0,Appalachian Mountain Brewery,Boone,NC
Sky High Rye,Pale Ale,12.0,Arcadia Brewing Company,Battle Creek,MI
Whitsun,Wheat Ale,12.0,Arcadia Brewing Company,Battle Creek,MI
On-On Ale (2008),Pale Ale,12.0,Arctic Craft Brewery,Colorado Springs,CO
Quakertown Stout,Imperial Stout,12.0,Armadillo Ale Works,Denton,TX
Greenbelt Farmhouse Ale,Others,12.0,Armadillo Ale Works,Denton,TX
Mo's Gose,Others,16.0,Armstrong Brewing Company,South San Francisco,CA
Green Bullet Organic India Pale Ale,India Pale Ale,16.0,Asher Brewing Company,Boulder,CO
Rocket Girl,Others,12.0,Asheville Brewing Company,Asheville,NC
Ninja Porter,Porter,12.0,Asheville Brewing Company,Asheville,NC
Shiva IPA,India Pale Ale,12.0,Asheville Brewing Company,Asheville,NC
Aslan Kölsch,Others,16.0,Aslan Brewing Company,Bellingham,WA
