name,style,ounces,brewery_name,city,state
Slow & Steady Golden Ale,Blonde Ale,12.0,Bonfire Brewing Company,Eagle,CO
Pink-I Raspberry IPA,India Pale Ale,16.0,Bonfire Brewing Company,Eagle,CO
Moe's Original Bar B Que 'Bama Brew Golden Ale,Blonde Ale,12.0,Bonfire Brewing Company,Eagle,CO
Live Local Golden Ale,Blonde Ale,12.0,Bonfire Brewing Company,Eagle,CO
Screaming Eagle Special Ale ESB,British-Style Bitter,12.0,Bonfire Brewing Company,Eagle,CO
Dirtbag Dunkel,Dunkel,16.0,Bonfire Brewing Company,Eagle,CO
Kindler Pale Ale,Pale Ale,12.0,Bonfire Brewing Company,Eagle,CO
Mistress Winter Wheat,Others,12.0,Bonfire Brewing Company,Eagle,CO
Tent Pole Vanilla Porter,Porter,16.0,Bonfire Brewing Company,Eagle,CO
Awry Rye Pale Ale,Pale Ale,12.0,Bonfire Brewing Company,Eagle,CO
Demshitz Brown Ale,Brown Ale,12.0,Bonfire Brewing Company,Eagle,CO
Wood Splitter Pilsner (2012),Pilsner,12.0,Bonfire Brewing Company,Eagle,CO
Brush Creek Blonde,Blonde Ale,16.0,Bonfire Brewing Company,Eagle,CO
Firestarter India Pale Ale,India Pale Ale,16.0,Bonfire Brewing Company,Eagle,CO
Noche Dulce,Porter,16.0,Borderlands Brewing Company,Tucson,AZ
Porch Rocker,Others,12.0,Boston Beer Company,Boston,MA
Rebel IPA,India Pale Ale,16.0,Boston Beer Company,Boston,MA
Cold Snap,Witbier,12.0,Boston Beer Company,Boston,MA
Samuel Adams Winter Lager,Maibock / Pale Bock,12.0,Boston Beer Company,Boston,MA
Boston Lager,Vienna,16.0,Boston Beer Company,Boston,MA
Boston Lager,Vienna,12.0,Boston Beer Company,Boston,MA
Samuel Adams Octoberfest,Others,12.0,Boston Beer Company,Boston,MA
Samuel Adams Summer Ale,Wheat Ale,12.0,Boston Beer Company,Boston,MA
Boston Lager,Vienna,12.0,Boston Beer Company,Boston,MA
Hazed & Infused,Pale Ale,12.0,Boulder Beer Company,Boulder,CO
Hoopla Pale Ale,Pale Ale,12.0,Boulder Beer Company,Boulder,CO
Hazed & Infused (2010),Pale Ale,12.0,Boulder Beer Company,Boulder,CO
Heavy Lifting,India Pale Ale,12.0,Boulevard Brewing Company,Kansas City,MO
1492,Pale Ale,12.0,Boxcar Brewing Company,West Chester,PA
Mango Ginger,India Pale Ale,12.0,Boxcar Brewing Company,West Chester,PA
Passenger,Others,12.0,Boxcar Brewing Company,West Chester,PA
Plum St. Porter,Porter,12.0,Bozeman Brewing Company,Bozeman,MT
Plum St. Porter,Porter,12.0,Bozeman Brewing Company,Bozeman,MT
Bozone HopZone IPA,India Pale Ale,12.0,Bozeman Brewing Company,Bozeman,MT
Bozone Hefe Weizen,Hefeweizen,12.0,Bozeman Brewing Company,Bozeman,MT
Bozone Select Amber Ale,Amber / Red Ale,12.0,Bozeman Brewing Company,Bozeman,MT
Evil Owl,Amber / Red Ale,12.0,Branchline Brewing Company,San Antonio,TX
Post Time Kölsch,Others,16.0,Breakside Brewery,Portland,OR
Agave Wheat,Wheat Ale,12.0,Breckenridge Brewery,Denver,CO
SummerBright Ale,Wheat Ale,12.0,Breckenridge Brewery,Denver,CO
Lucky U IPA,India Pale Ale,12.0,Breckenridge Brewery,Denver,CO
Avalanche Ale,Amber / Red Ale,12.0,Breckenridge Brewery,Denver,CO
"You're My Boy, Blue",Others,12.0,Brew Bus Brewing,Tampa,FL
Last Stop IPA,India Pale Ale,12.0,Brew Bus Brewing,Tampa,FL
Rollin Dirty Red Ale,Others,12.0,Brew Bus Brewing,Tampa,FL
Are Wheat There Yet?,Wheat Ale,12.0,Brew Bus Brewing,Tampa,FL
Insert Hop Reference,Pale Ale,16.0,Brew Link Brewing,Plainfield,IN
Manitou Amber,Amber / Red Ale,16.0,Brewery Terra Firma,Traverse City,MI
Belfort,Others,16.0,Brewery Vivant,Grand Rapids,MI
Star Runner,Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
Tart Side of the Barrel,Imperial Stout,16.0,Brewery Vivant,Grand Rapids,MI
Linnaeus Mango IPA,India Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
Beasts A'Burnin',Others,16.0,Brewery Vivant,Grand Rapids,MI
Verdun,Others,16.0,Brewery Vivant,Grand Rapids,MI
Barrel Aged Triomphe,India Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
Cherry Doppelbock,Doppelbock,16.0,Brewery Vivant,Grand Rapids,MI
Tropical Saison,Others,16.0,Brewery Vivant,Grand Rapids,MI
Beach Patrol,Witbier,16.0,Brewery Vivant,Grand Rapids,MI
Nuit Serpent,India Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
Paris,Others,16.0,Brewery Vivant,Grand Rapids,MI
The Grand Army,India Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
Acidulated Trip,Others,16.0,Brewery Vivant,Grand Rapids,MI
Root Stock,Others,16.0,Brewery Vivant,Grand Rapids,MI
Mind Games,Dunkel,16.0,Brewery Vivant,Grand Rapids,MI
Sous Chef,Others,16.0,Brewery Vivant,Grand Rapids,MI
Dubbelicious,Others,16.0,Brewery Vivant,Grand Rapids,MI
Psychopomp,Old Ale,16.0,Brewery Vivant,Grand Rapids,MI
Fat Paczki,Old Ale,16.0,Brewery Vivant,Grand Rapids,MI
Earth-Like Planets,Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
Ski Patrol,Witbier,16.0,Brewery Vivant,Grand Rapids,MI
Viking Ice Hole,Oatmeal Stout,16.0,Brewery Vivant,Grand Rapids,MI
Rye Porter,Porter,16.0,Brewery Vivant,Grand Rapids,MI
Wizard Burial Ground,Others,16.0,Brewery Vivant,Grand Rapids,MI
Smoky Wheat,Others,16.0,Brewery Vivant,Grand Rapids,MI
BRIPA,India Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
Mela,Old Ale,16.0,Brewery Vivant,Grand Rapids,MI
W.I.P.A Snappa,India Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
Pepper in the Rye,Others,16.0,Brewery Vivant,Grand Rapids,MI
Moe Lasses',Others,16.0,Brewery Vivant,Grand Rapids,MI
Pumpkin Tart,Others,16.0,Brewery Vivant,Grand Rapids,MI
Undertaker,Old Ale,16.0,Brewery Vivant,Grand Rapids,MI
Undertaker (2014),Old Ale,16.0,Brewery Vivant,Grand Rapids,MI
Coq D'Or,Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
North French,Others,16.0,Brewery Vivant,Grand Rapids,MI
Agent a Deux,Old Ale,16.0,Brewery Vivant,Grand Rapids,MI
Belgian Wit,Witbier,16.0,Brewery Vivant,Grand Rapids,MI
Pothole Stout,Others,16.0,Brewery Vivant,Grand Rapids,MI
Tree Bucket,India Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
Le Flaneur Ale,Others,16.0,Brewery Vivant,Grand Rapids,MI
Maize & Blueberry,Others,16.0,Brewery Vivant,Grand Rapids,MI
Trebuchet Double IPA,Double / Imperial IPA,16.0,Brewery Vivant,Grand Rapids,MI
Contemplation,Others,16.0,Brewery Vivant,Grand Rapids,MI
Black Rabbit,Others,16.0,Brewery Vivant,Grand Rapids,MI
Zaison,Others,16.0,Brewery Vivant,Grand Rapids,MI
Vivant Tripel,Abbey Tripel,16.0,Brewery Vivant,Grand Rapids,MI
Tart Side of the Moon,Old Ale,16.0,Brewery Vivant,Grand Rapids,MI
Big Red Coq,Amber / Red Ale,16.0,Brewery Vivant,Grand Rapids,MI
Hubris Quadrupel Anniversary Ale,Others,16.0,Brewery Vivant,Grand Rapids,MI
Plow Horse Belgian Style Imperial Stout,Imperial Stout,16.0,Brewery Vivant,Grand Rapids,MI
Escoffier Bretta Ale,Others,16.0,Brewery Vivant,Grand Rapids,MI
Contemplation (2012),Others,16.0,Brewery Vivant,Grand Rapids,MI
Vivant Belgian Style Imperial Stout (2012),Imperial Stout,16.0,Brewery Vivant,Grand Rapids,MI
Big Red Coq (2012),Amber / Red Ale,16.0,Brewery Vivant,Grand Rapids,MI
Zaison (2012),Others,16.0,Brewery Vivant,Grand Rapids,MI
Vivant Tripel (2012),Abbey Tripel,16.0,Brewery Vivant,Grand Rapids,MI
Trebuchet Double IPA (2012),India Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
Kludde,Others,16.0,Brewery Vivant,Grand Rapids,MI
Farm Hand,Others,16.0,Brewery Vivant,Grand Rapids,MI
Solitude,Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
Triomphe,India Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
Tampa Pale Ale,Pale Ale,12.0,Brindle Dog Brewing Company,Tampa Bay,FL
Orange Grove Wheat Ale,Wheat Ale,12.0,Brindle Dog Brewing Company,Tampa Bay,FL
Broad Brook Ale,Amber / Red Ale,16.0,Broad Brook Brewing LLC,East Windsor,CT
Northern Lights Amber Ale,Amber / Red Ale,12.0,Broken Tooth Brewing Company,Anchorage,AK
Polar Pale Ale,Pale Ale,12.0,Broken Tooth Brewing Company,Anchorage,AK
Chugach Session Ale,Cream Ale,12.0,Broken Tooth Brewing Company,Anchorage,AK
Fairweather IPA,India Pale Ale,12.0,Broken Tooth Brewing Company,Anchorage,AK
East India Pale Ale,India Pale Ale,16.0,Brooklyn Brewery,Brooklyn,NY
Brooklyn Summer Ale,Others,12.0,Brooklyn Brewery,Brooklyn,NY
East India Pale Ale,India Pale Ale,12.0,Brooklyn Brewery,Brooklyn,NY
Brooklyn Summer Ale (2011),Others,12.0,Brooklyn Brewery,Brooklyn,NY
Brooklyn Lager (16 oz.),Others,16.0,Brooklyn Brewery,Brooklyn,NY
Brooklyn Lager (12 oz.),Others,12.0,Brooklyn Brewery,Brooklyn,NY
Tour de Nez Belgian IPA (Current),India Pale Ale,16.0,Buckbean Brewing Company,Reno,NV
Roler Bock (Current),Helles,16.0,Buckbean Brewing Company,Reno,NV
Black Adder IBA (Current),Others,16.0,Buckbean Brewing Company,Reno,NV
Very Noddy Lager (Current),Schwarzbier,16.0,Buckbean Brewing Company,Reno,NV
Tule Duck Red Ale (Current),Amber / Red Ale,16.0,Buckbean Brewing Company,Reno,NV
Original Orange Blossom Ale (Current),Others,16.0,Buckbean Brewing Company,Reno,NV
Black Noddy Lager (Current),Schwarzbier,16.0,Buckbean Brewing Company,Reno,NV
Cleveland Beer Week 2013,Others,16.0,Buckeye Brewing,Cleveland,OH
Painted Turtle,Pale Ale,12.0,BuckleDown Brewing,Lyons,IL
1836,Blonde Ale,12.0,Buffalo Bayou Brewing Company,Houston,TX
Summer's Wit,Witbier,12.0,Buffalo Bayou Brewing Company,Houston,TX
More Cowbell,Double / Imperial IPA,16.0,Buffalo Bayou Brewing Company,Houston,TX
Wrath of Pele,Brown Ale,16.0,Burn 'Em Brewing,Michigan City,IN
Black Beer'd,Others,16.0,Burn 'Em Brewing,Michigan City,IN
Mr. Tea,Others,24.0,Burn 'Em Brewing,Michigan City,IN
Pale Alement,Pale Ale,12.0,Burn 'Em Brewing,Michigan City,IN
Hopkick Dropkick,Double / Imperial IPA,12.0,Burn 'Em Brewing,Michigan City,IN
Kreamed Corn,Cream Ale,12.0,Burn 'Em Brewing,Michigan City,IN
Coconoats,Wheat Ale,16.0,Burn 'Em Brewing,Michigan City,IN
Joey Wheat,Wheat Ale,16.0,Burn 'Em Brewing,Michigan City,IN
3:33 Black IPA,India Pale Ale,16.0,Burn 'Em Brewing,Michigan City,IN
MCA,India Pale Ale,16.0,Burn 'Em Brewing,Michigan City,IN
Pale Alement,Pale Ale,16.0,Burn 'Em Brewing,Michigan City,IN
Couch Select Lager,Others,12.0,Burnside Brewing Co.,Portland,OR
Mucho Aloha Hawaiian Pale Ale,Pale Ale,12.0,Butcher's Brewing,Carlsbad,CA
Heinnieweisse Weissebier,Hefeweizen,12.0,Butternuts Beer and Ale,Garrattsville,NY
Snapperhead IPA,India Pale Ale,12.0,Butternuts Beer and Ale,Garrattsville,NY
Moo Thunder Stout,Sweet Stout,12.0,Butternuts Beer and Ale,Garrattsville,NY
Porkslap Pale Ale,Pale Ale,12.0,Butternuts Beer and Ale,Garrattsville,NY
Blackbeard,Imperial Stout,12.0,COAST Brewing Company,Charleston,SC
Rye Knot,Brown Ale,12.0,COAST Brewing Company,Charleston,SC
Dead Arm,Pale Ale,12.0,COAST Brewing Company,Charleston,SC
32°/50° Kölsch ,Others,16.0,COAST Brewing Company,Charleston,SC
HopArt,India Pale Ale,16.0,COAST Brewing Company,Charleston,SC
Boy King,Double / Imperial IPA,16.0,COAST Brewing Company,Charleston,SC
Gran Sport,Porter,16.0,COOP Ale Works,Oklahoma City,OK
Horny Toad Cerveza,Blonde Ale,16.0,COOP Ale Works,Oklahoma City,OK
Native Amber,Amber / Red Ale,16.0,COOP Ale Works,Oklahoma City,OK
F5 IPA,India Pale Ale,16.0,COOP Ale Works,Oklahoma City,OK
Native Amber (2013),Amber / Red Ale,16.0,COOP Ale Works,Oklahoma City,OK
Horny Toad Cerveza (2013),Blonde Ale,16.0,COOP Ale Works,Oklahoma City,OK
Hopportunity Knocks IPA,India Pale Ale,12.0,Caldera Brewing Company,Ashland,OR
Pilot Rock Porter,Porter,12.0,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale,Pale Ale,12.0,Caldera Brewing Company,Ashland,OR
Lawnmower Lager,Others,12.0,Caldera Brewing Company,Ashland,OR
Ashland Amber Ale (2009),Amber / Red Ale,12.0,Caldera Brewing Company,Ashland,OR
Caldera IPA (2009),India Pale Ale,12.0,Caldera Brewing Company,Ashland,OR
Caldera IPA (2007),India Pale Ale,12.0,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2010),Pale Ale,12.0,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2009),Pale Ale,12.0,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2005),Pale Ale,12.0,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2007),Pale Ale,12.0,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2011),Pale Ale,12.0,Caldera Brewing Company,Ashland,OR
Ashland Amber Ale,Amber / Red Ale,12.0,Caldera Brewing Company,Ashland,OR
Caldera IPA,India Pale Ale,12.0,Caldera Brewing Company,Ashland,OR
Remain in Light,Pilsner,12.0,Cambridge Brewing Company,Cambridge,MA
Flower Child (2014),India Pale Ale,12.0,Cambridge Brewing Company,Cambridge,MA
THP White (2006),Witbier,12.0,Cans Bar and Canteen,Charlotte,NC
THP Amber (2006),Amber / Red Ale,12.0,Cans Bar and Canteen,Charlotte,NC
THP Light (2006),Blonde Ale,12.0,Cans Bar and Canteen,Charlotte,NC
THP Dark (2006),Others,12.0,Cans Bar and Canteen,Charlotte,NC
Imperial Pumpkin Stout,Others,16.0,Cape Ann Brewing Company,Gloucester,MA
Dead-Eye DIPA,Double / Imperial IPA,16.0,Cape Ann Brewing Company,Gloucester,MA
Fisherman's IPA,India Pale Ale,12.0,Cape Ann Brewing Company,Gloucester,MA
Fisherman's Pils,Pilsner,12.0,Cape Ann Brewing Company,Gloucester,MA
Fisherman's Brew,Amber / Red Ale,12.0,Cape Ann Brewing Company,Gloucester,MA
Cape Cod Red,Amber / Red Ale,16.0,Cape Cod Beer,Hyannis,MA
Beach Blonde,Blonde Ale,16.0,Cape Cod Beer,Hyannis,MA
Dark Voyage Black IPA (2013),Others,12.0,Capital Brewery,Middleton,WI
Wisconsin Amber,Vienna,12.0,Capital Brewery,Middleton,WI
Lake House,Others,12.0,Capital Brewery,Middleton,WI
Ghost Ship White IPA,India Pale Ale,12.0,Capital Brewery,Middleton,WI
Lake House,Others,16.0,Capital Brewery,Middleton,WI
Mutiny IPA,India Pale Ale,12.0,Capital Brewery,Middleton,WI
Wisconsin Amber (1998),Vienna,12.0,Capital Brewery,Middleton,WI
Island Wheat,Wheat Ale,12.0,Capital Brewery,Middleton,WI
Wisconsin Amber (2013),Vienna,12.0,Capital Brewery,Middleton,WI
U.S. Pale Ale,Pale Ale,12.0,Capital Brewery,Middleton,WI
Supper Club Lager,Others,12.0,Capital Brewery,Middleton,WI
Carolina Lighthouse (2007),Blonde Ale,12.0,Carolina Beer & Beverage,Mooresville,NC
Carolina Blonde (2006),Blonde Ale,12.0,Carolina Beer & Beverage,Mooresville,NC
Carolina Blonde Light (2005),Blonde Ale,12.0,Carolina Beer & Beverage,Mooresville,NC
Santa's Secret,Others,16.0,Carolina Brewery,Pittsboro,NC
Flagship IPA,India Pale Ale,12.0,Carolina Brewery,Pittsboro,NC
Sky Blue Golden Ale,Others,12.0,Carolina Brewery,Pittsboro,NC
Epitome,Others,16.0,Carton Brewing Company,Atlantic Highlands,NJ
Monkey Chased the Weasel,Others,16.0,Carton Brewing Company,Atlantic Highlands,NJ
077XX,Double / Imperial IPA,16.0,Carton Brewing Company,Atlantic Highlands,NJ
Boat Beer,India Pale Ale,12.0,Carton Brewing Company,Atlantic Highlands,NJ
Granny Smith Hard Apple Cider,Others,16.0,Cascadia Ciderworks United,Portland,OR
Dry Hard Apple Cider,Others,16.0,Cascadia Ciderworks United,Portland,OR
Farmer Ted's Cream Ale,Cream Ale,12.0,Catawba Brewing Company,Morganton,NC
Firewater India Pale Ale,India Pale Ale,12.0,Catawba Brewing Company,Morganton,NC
White Zombie Ale,Witbier,12.0,Catawba Brewing Company,Morganton,NC
King Winterbolt Winter Ale,Others,12.0,Catawba Brewing Company,Morganton,NC
White Zombie Ale,Witbier,12.0,Catawba Brewing Company,Morganton,NC
Firewater India Pale Ale,India Pale Ale,12.0,Catawba Brewing Company,Morganton,NC
Farmer Ted's Farmhouse Cream Ale,Cream Ale,12.0,Catawba Brewing Company,Morganton,NC
Whitecap Wit,Witbier,16.0,Catawba Island Brewing,Port Clinton,OH
Seiche Scottish Ale,Scotch Ale / Wee Heavy,16.0,Catawba Island Brewing,Port Clinton,OH
Peanut Butter Jelly Time,Brown Ale,12.0,Catawba Valley Brewing Company,Morganton,NC
King Coconut,Porter,12.0,Catawba Valley Brewing Company,Morganton,NC
Gone A-Rye,Double / Imperial IPA,16.0,Cedar Creek Brewery,Seven Points,TX
Dankosaurus,India Pale Ale,16.0,Cedar Creek Brewery,Seven Points,TX
Scruffy's Smoked Alt,Others,16.0,Cedar Creek Brewery,Seven Points,TX
Elliott's Phoned Home Pale Ale,Pale Ale,16.0,Cedar Creek Brewery,Seven Points,TX
The Lawn Ranger,Cream Ale,16.0,Cedar Creek Brewery,Seven Points,TX
All American Blonde Ale,Blonde Ale,12.0,Centennial Beer Company,Edwards,CO
All American Red Ale,Amber / Red Ale,12.0,Centennial Beer Company,Edwards,CO
Main St. Virginia Ale,Altbier,12.0,Center of the Universe Brewing C...,Ashland,VA
Chin Music Amber Lager,Others,12.0,Center of the Universe Brewing C...,Ashland,VA
Main St. Virginia Ale,Altbier,12.0,Center of the Universe Brewing C...,Ashland,VA
Ray Ray’s Pale Ale,Pale Ale,12.0,Center of the Universe Brewing C...,Ashland,VA
Chai Ale,Others,16.0,Central Coast Brewing Company,San Luis Obispo,CA
Lucky Day IPA,India Pale Ale,16.0,Central Coast Brewing Company,San Luis Obispo,CA
Terrace Hill Double IPA,Double / Imperial IPA,16.0,Central Coast Brewing Company,San Luis Obispo,CA
Catch 23,Others,16.0,Central Coast Brewing Company,San Luis Obispo,CA
Stickin' In My Rye,Others,24.0,Champion Brewing Company,Charlottesville,VA
Black Me Stout,Others,12.0,Champion Brewing Company,Charlottesville,VA
Killer Kolsch,Others,12.0,Champion Brewing Company,Charlottesville,VA
Missile IPA,India Pale Ale,12.0,Champion Brewing Company,Charlottesville,VA
Enlighten,Others,16.0,Chapman's Brewing,Angola,IN
Ale Cider,Others,16.0,Chapman's Brewing,Angola,IN
Pail Ale,Pale Ale,16.0,Chapman's Brewing,Angola,IN
Englishman,Brown Ale,16.0,Chapman's Brewing,Angola,IN
8 Barrel,Strong Ale,16.0,Chatham Brewing,Chatham,NY
Oktoberfest,Others,16.0,Chatham Brewing,Chatham,NY
IPA #11,India Pale Ale,16.0,Cheboygan Brewing Company,Cheboygan,MI
Blood Orange Honey,Others,16.0,Cheboygan Brewing Company,Cheboygan,MI
Lighthouse Amber,Altbier,16.0,Cheboygan Brewing Company,Cheboygan,MI
Bay of Bengal Double IPA (2014),Double / Imperial IPA,12.0,Christian Moerlein Brewing Company,Cincinnati,OH
Churchkey Pilsner Style Beer,Pilsner,12.0,Churchkey Can Company,Seattle,WA
First Press,Others,12.0,Ciderboys,Stevens Point,WI
Magic Apple,Others,12.0,Ciderboys,Stevens Point,WI
Cubano Espresso,Maibock / Pale Bock,12.0,Cigar City Brewing Company,Tampa,FL
Operation Homefront,India Pale Ale,12.0,Cigar City Brewing Company,Tampa,FL
Wandering Pelican,Others,12.0,Cigar City Brewing Company,Tampa,FL
Sugar Plum,Brown Ale,12.0,Cigar City Brewing Company,Tampa,FL
Oktoberfest,Others,12.0,Cigar City Brewing Company,Tampa,FL
Puppy's Breath Porter,Porter,12.0,Cigar City Brewing Company,Tampa,FL
Happening Now,India Pale Ale,12.0,Cigar City Brewing Company,Tampa,FL
Hopped on the High Seas (Hop #529),India Pale Ale,12.0,Cigar City Brewing Company,Tampa,FL
Hopped on the High Seas (Calypso),India Pale Ale,12.0,Cigar City Brewing Company,Tampa,FL
Wiregrass Post-Prohibition Ale,Pale Ale,12.0,Cigar City Brewing Company,Tampa,FL
Dry-Hopped On The High Seas Caribbean-Style IPA,India Pale Ale,12.0,Cigar City Brewing Company,Tampa,FL
Hopped on the High Seas (Citra),India Pale Ale,12.0,Cigar City Brewing Company,Tampa,FL
Hopped on the High Seas (Ahtanum),India Pale Ale,12.0,Cigar City Brewing Company,Tampa,FL
Gwar Beer,Pale Ale,12.0,Cigar City Brewing Company,Tampa,FL
Tropical Heatwave,Wheat Ale,16.0,Cigar City Brewing Company,Tampa,FL
Humidor Series India Pale Ale,India Pale Ale,12.0,Cigar City Brewing Company,Tampa,FL
Jai Alai IPA Aged on White Oak,India Pale Ale,12.0,Cigar City Brewing Company,Tampa,FL
José Martí American Porter,Porter,12.0,Cigar City Brewing Company,Tampa,FL
Invasion Pale Ale,Pale Ale,12.0,Cigar City Brewing Company,Tampa,FL
Maduro Brown Ale,Brown Ale,12.0,Cigar City Brewing Company,Tampa,FL
Maduro Brown Ale,Brown Ale,12.0,Cigar City Brewing Company,Tampa,FL
Hotter Than Helles Lager,Others,12.0,Cigar City Brewing Company,Tampa,FL
Tocobaga Red Ale,Amber / Red Ale,12.0,Cigar City Brewing Company,Tampa,FL
Jai Alai IPA,India Pale Ale,12.0,Cigar City Brewing Company,Tampa,FL
Florida Cracker Belgian Wit,Witbier,12.0,Cigar City Brewing Company,Tampa,FL
Shark Tracker Light lager,Others,12.0,Cisco Brewers,Nantucket,MA
Pumple Drumkin,Others,12.0,Cisco Brewers,Nantucket,MA
Grey Lady,Witbier,12.0,Cisco Brewers,Nantucket,MA
Summer of Lager,Others,12.0,Cisco Brewers,Nantucket,MA
Indie Pale Ale,India Pale Ale,12.0,Cisco Brewers,Nantucket,MA
Sankaty Light Lager,Others,12.0,Cisco Brewers,Nantucket,MA
Whale's Tale Pale Ale,Pale Ale,12.0,Cisco Brewers,Nantucket,MA
Jacaranada Rye IPA,India Pale Ale,16.0,Claremont Craft Ales,Claremont,CA
Cascadian Dark Ale,Others,12.0,Coalition Brewing Company,Portland,OR
Wheat the People,Wheat Ale,16.0,Coalition Brewing Company,Portland,OR
Tybee Island Blonde,Blonde Ale,12.0,Coastal Empire Beer Company,Savannah,GA
Savannah Brown Ale,Brown Ale,12.0,Coastal Empire Beer Company,Savannah,GA
Rhode Island Blueberry,Others,12.0,Coastal Extreme Brewing Company,Newport,RI
Newport Storm IPA,India Pale Ale,12.0,Coastal Extreme Brewing Company,Newport,RI
Hurricane Amber Ale (2004),Amber / Red Ale,12.0,Coastal Extreme Brewing Company,Newport,RI
Hurricane Amber Ale,Amber / Red Ale,12.0,Coastal Extreme Brewing Company,Newport,RI
Big Blue Van,Others,16.0,College Street Brewhouse and Pub,Lake Havasu City,AZ
Des Moines IPA,India Pale Ale,16.0,Confluence Brewing Company,Des Moines,IA
Capital Gold Golden Lager,Pilsner,16.0,Confluence Brewing Company,Des Moines,IA
Farmer John's Multi-Grain Ale,Blonde Ale,16.0,Confluence Brewing Company,Des Moines,IA
Behemoth,Pilsner,12.0,Core Brewing & Distilling Company,Springdale,AR
Arkansas Red,Amber / Red Ale,12.0,Core Brewing & Distilling Company,Springdale,AR
Core Oatmeal Stout,Oatmeal Stout,12.0,Core Brewing & Distilling Company,Springdale,AR
Core ESB,British-Style Bitter,12.0,Core Brewing & Distilling Company,Springdale,AR
Chester's Beer (2005),Others,12.0,Cottrell Brewing,Pawcatuck,CT
Heiner Brau Kölsch,Others,12.0,Covington Brewhouse,Covington,LA
Trigger Blonde Ale,Blonde Ale,16.0,Crabtree Brewing Company,Greeley,CO
Crabtree Oatmeal Stout,Oatmeal Stout,16.0,Crabtree Brewing Company,Greeley,CO
Eclipse Black IPA,Others,16.0,Crabtree Brewing Company,Greeley,CO
Neomexicanus Native,Pale Ale,12.0,Crazy Mountain Brewing Company,Edwards,CO
Old Soul,Others,12.0,Crazy Mountain Brewing Company,Edwards,CO
Snowcat Coffee Stout,Others,12.0,Crazy Mountain Brewing Company,Edwards,CO
WinterWonderGrass Festival Ale,Amber / Red Ale,12.0,Crazy Mountain Brewing Company,Edwards,CO
Boohai Red Ale,Amber / Red Ale,12.0,Crazy Mountain Brewing Company,Edwards,CO
Lava Lake Wit,Witbier,12.0,Crazy Mountain Brewing Company,Edwards,CO
Mountain Livin' Pale Ale,Pale Ale,12.0,Crazy Mountain Brewing Company,Edwards,CO
Crazy Mountain Amber Ale,Amber / Red Ale,12.0,Crazy Mountain Brewing Company,Edwards,CO
Tropicalia,India Pale Ale,12.0,Creature Comforts,Athens,GA
Athena,Others,12.0,Creature Comforts,Athens,GA
Aviator Raspberry Blonde,Blonde Ale,12.0,Crooked Fence Brewing Company,Garden City,ID
3 Picket Porter,Porter,12.0,Crooked Fence Brewing Company,Garden City,ID
Rusty Nail Pale Ale,Pale Ale,12.0,Crooked Fence Brewing Company,Garden City,ID
Red Water Irish Style Red,Amber / Red Ale,12.0,Crow Peak Brewing Company,Spearfish,SD
Mjöllnir,Others,12.0,Crow Peak Brewing Company,Spearfish,SD
Bear Butte Nut Brown Ale,Brown Ale,12.0,Crow Peak Brewing Company,Spearfish,SD
Easy Livin' Summer Ale,Blonde Ale,12.0,Crow Peak Brewing Company,Spearfish,SD
Canyon Cream Ale,Cream Ale,12.0,Crow Peak Brewing Company,Spearfish,SD
Pile O'Dirt Porter,Porter,12.0,Crow Peak Brewing Company,Spearfish,SD
11th Hour IPA,India Pale Ale,12.0,Crow Peak Brewing Company,Spearfish,SD
South Ridge Amber Ale,Amber / Red Ale,16.0,Crystal Springs Brewing Company,Boulder,CO
Summertime Ale,Others,16.0,Crystal Springs Brewing Company,Boulder,CO
Lost River Blonde Ale,Blonde Ale,16.0,Cutters Brewing Company,Avon,IN
Monon Wheat,Witbier,16.0,Cutters Brewing Company,Avon,IN
Floyd's Folly,Scotch Ale / Wee Heavy,16.0,Cutters Brewing Company,Avon,IN
Half Court IPA,India Pale Ale,16.0,Cutters Brewing Company,Avon,IN
Geary's Pale Ale,Pale Ale,12.0,D.L. Geary Brewing Company,Portland,ME
Geary's Summer Ale,Others,12.0,D.L. Geary Brewing Company,Portland,ME
Stone of Arbroath,Scotch Ale / Wee Heavy,12.0,DC Brau Brewing Company,Washington,DC
The Tradition,Blonde Ale,12.0,DC Brau Brewing Company,Washington,DC
