id,name,style,brewery_id,ounces,brewery_id,brewery_name,city,state
62,"U.S. Pale Ale","American Pale Ale (APA)",192,12,192,"Capital Brewery",Middleton," WI"
63,"Wisconsin Amber (2013)","Vienna Lager",192,12,192,"Capital Brewery",Middleton," WI"
64,"Liquid Amber Ale","American Amber / Red Ale",548,12,548,"Prescott Brewing Company",Prescott," AZ"
65,"Brooklyn Lager (12 oz.)","American Amber / Red Lager",437,12,437,"Brooklyn Brewery",Brooklyn," NY"
66,"Brooklyn Lager (16 oz.)","American Amber / Red Lager",437,16,437,"Brooklyn Brewery",Brooklyn," NY"
67,"Modus Hoperandi","American IPA",264,12,264,"Ska Brewing Company",Durango," CO"
68,"ESB Special Ale","Extra Special / Strong Bitter (ESB)",264,12,264,"Ska Brewing Company",Durango," CO"
69,"Euphoria Pale Ale","American Pale Ale (APA)",264,12,264,"Ska Brewing Company",Durango," CO"
70,"True Blonde Ale","American Blonde Ale",264,12,264,"Ska Brewing Company",Durango," CO"
71,"Fat Tire Amber Ale (2008)","American Amber / Red Ale",82,12,82,"New Belgium Brewing Company","Fort Collins"," CO"
72,"Sunshine Wheat Beer (2009)","American Pale Wheat Ale",82,12,82,"New Belgium Brewing Company","Fort Collins"," CO"
73,"Real McCoy Amber Ale (Current)","American Amber / Red Ale",534,12,534,"Mammoth Brewing Company","Mammoth Lakes"," CA"
74,"Golden Trout Pilsner","German Pilsener",534,12,534,"Mammoth Brewing Company","Mammoth Lakes"," CA"
75,"Epic IPA","American IPA",534,12,534,"Mammoth Brewing Company","Mammoth Lakes"," CA"
76,"Poleeko Gold Pale Ale (2009)","American Pale Ale (APA)",171,12,171,"Anderson Valley Brewing Company",Boonville," CA"
77,"Summer Solstice (2011)","Cream Ale",171,12,171,"Anderson Valley Brewing Company",Boonville," CA"
78,"Boont Amber Ale (2011)","American Amber / Red Ale",171,12,171,"Anderson Valley Brewing Company",Boonville," CA"
79,"Upslope India Pale Ale","American IPA",51,12,51,"Upslope Brewing Company",Boulder," CO"
80,"Upslope Pale Ale","American Pale Ale (APA)",51,12,51,"Upslope Brewing Company",Boulder," CO"
81,"Hazed & Infused (2010)","American Pale Ale (APA)",417,12,417,"Boulder Beer Company",Boulder," CO"
82,"Haywire Hefeweizen (2010)",Hefeweizen,544,16,544,"Pyramid Breweries",Seattle," WA"
83,"Avalanche Ale","American Amber / Red Ale",391,12,391,"Breckenridge Brewery",Denver," CO"
84,"Rail Yard Ale (2009)","American Amber / Red Ale",424,12,424,"Wynkoop Brewing Company",Denver," CO"
85,"Cold Smoke Scotch Ale","Scotch Ale / Wee Heavy",510,16,510,"Kettle House Brewing Company",Missoula," MT"
86,"Double Haul IPA","American IPA",510,16,510,"Kettle House Brewing Company",Missoula," MT"
87,"Eddy Out Pale Ale","American Pale Ale (APA)",510,16,510,"Kettle House Brewing Company",Missoula," MT"
88,"Viennese Lager","Vienna Lager",364,12,364,"Bohemian Brewery",Midvale," UT"
89,"Czech Pilsner","Czech Pilsener",364,12,364,"Bohemian Brewery",Midvale," UT"
90,"Third Eye Pale Ale","American IPA",119,12,119,"Steamworks Brewing Company",Durango," CO"
91,"Steam Engine Lager","American Amber / Red Lager",119,12,119,"Steamworks Brewing Company",Durango," CO"
92,"Colorado Kölsch",Kölsch,119,12,119,"Steamworks Brewing Company",Durango," CO"
94,Resurrection,Dubbel,262,12,262,"The Brewer's Art",Baltimore," MD"
96,"Annie's Amber Ale","American Amber / Red Ale",500,12,500,"High Noon Saloon And Brewery",Leavenworth," KS"
97,"Lazy Daze Lager","American Adjunct Lager",229,12,229,"Rochester Mills Brewing Company",Rochester," MI"
98,"Pilsner Ukiah","German Pilsener",555,12,555,"Ukiah Brewing Company",Ukiah," CA"
101,"Tallgrass IPA","American IPA",45,16,45,"Tallgrass Brewing Company",Manhattan," KS"
102,"Buffalo Sweat (2010)","Milk / Sweet Stout",45,16,45,"Tallgrass Brewing Company",Manhattan," KS"
103,"Tallgrass Ale","American Brown Ale",45,16,45,"Tallgrass Brewing Company",Manhattan," KS"
104,"Oasis (2010)","American Double / Imperial IPA",45,16,45,"Tallgrass Brewing Company",Manhattan," KS"
105,"Köld Lager (2010)","German Pilsener",45,16,45,"Tallgrass Brewing Company",Manhattan," KS"
106,"Ellie’s Brown Ale","American Brown Ale",37,12,37,"Avery Brewing Company",Boulder," CO"
107,"Avery India Pale Ale","American IPA",37,12,37,"Avery Brewing Company",Boulder," CO"
108,"White Rascal",Witbier,37,12,37,"Avery Brewing Company",Boulder," CO"
109,"Floppin' Crappie","American Pale Wheat Ale",529,12,529,"Northwoods Brewpub","Eau Claire"," WI"
110,"BrewFarm Select Golden Lager","American Pale Lager",554,12,554,"Dave's Brewfarm",Wilson," WI"
112,"Fearless Scottish Ale","Scottish Ale",201,16,201,"Fearless Brewing Company",Estacada," OR"
113,"Triangle Belgian Golden Ale","Belgian Strong Pale Ale",524,12,524,"Triangle Brewing Company",Durham," NC"
114,"Triangle White Ale",Witbier,524,12,524,"Triangle Brewing Company",Durham," NC"
115,"Ranger IPA (Current)","American IPA",82,12,82,"New Belgium Brewing Company","Fort Collins"," CO"
119,"Full Nelson Pale Ale (2010)","American Pale Ale (APA)",382,12,382,"Blue Mountain Brewery",Afton," VA"
120,"Hurricane Amber Ale","American Amber / Red Ale",101,12,101,"Coastal Extreme Brewing Company",Newport," RI"
121,"Cornstalker Dark Wheat","American Dark Wheat Ale",282,12,282,"Thunderhead Brewing Company",Kearney," NE"
122,"Golden Frau Honey Wheat",Braggot,282,12,282,"Thunderhead Brewing Company",Kearney," NE"
124,"Epicenter Amber Ale (2010)","American Amber / Red Ale",30,12,30,"SanTan Brewing Company",Chandler," AZ"
125,"Lumberyard Red Ale","American Amber / Red Ale",158,12,158,"Lumberyard Brewing Company",Flagstaff," AZ"
126,"Harpoon IPA (2010)","American IPA",234,12,234,"Harpoon Brewery",Boston," MA"
128,"O'Fallon Wheach","Fruit / Vegetable Beer",442,12,442,"O'Fallon Brewery",O'Fallon," MO"
129,"Heiner Brau Kölsch",Kölsch,553,12,553,"Covington Brewhouse",Covington," LA"
130,"Morning Wood Wheat (Current)","American Pale Wheat Ale",135,12,135,"Pug Ryan's Brewery",Dillon," CO"
131,"Dry Heat Hefeweizen (2006)",Hefeweizen,507,12,507,"Mudshark Brewing Company","Lake Havasu City"," AZ"
132,"Full Moon Belgian White Ale (2007)",Witbier,507,12,507,"Mudshark Brewing Company","Lake Havasu City"," AZ"
133,"Saranac Pale Ale (16 oz.)","English Pale Ale",299,16,299,"Matt Brewing Company",Utica," NY"
138,"Point Special Lager","American Adjunct Lager",131,12,131,"Stevens Point Brewery","Stevens Point"," WI"
139,"Point Amber Classic","American Amber / Red Lager",131,12,131,"Stevens Point Brewery","Stevens Point"," WI"
140,"Point Cascade Pale Ale","American Pale Ale (APA)",131,12,131,"Stevens Point Brewery","Stevens Point"," WI"
141,"Point Nude Beach Summer Wheat (2010)","American Pale Wheat Ale",131,12,131,"Stevens Point Brewery","Stevens Point"," WI"
142,"Black Iron India Pale Ale","American IPA",536,12,536,"Grand Canyon Brewing Company",Williams," AZ"
143,"Grand Canyon Sunset Amber Ale","American Amber / Red Ale",536,12,536,"Grand Canyon Brewing Company",Williams," AZ"
145,"Silverback Pale Ale","American Pale Ale (APA)",424,12,424,"Wynkoop Brewing Company",Denver," CO"
146,"Avery Joe’s Premium American Pilsner","German Pilsener",37,12,37,"Avery Brewing Company",Boulder," CO"
148,"Daisy Cutter Pale Ale","American Pale Ale (APA)",327,16,327,"Half Acre Beer Company",Chicago," IL"
149,"Gossamer Golden Ale","American Blonde Ale",327,16,327,"Half Acre Beer Company",Chicago," IL"
150,"Saranac Pale Ale (12 oz.)","English Pale Ale",299,12,299,"Matt Brewing Company",Utica," NY"
158,"Cornerstone IPA","American IPA",229,16,229,"Rochester Mills Brewing Company",Rochester," MI"
159,"Scape Goat Pale Ale (2010)","English Pale Ale",336,12,336,"Big Sky Brewing Company",Missoula," MT"
160,"Ice Pick Ale","American IPA",551,12,551,"Silverton Brewery",Silverton," CO"
161,"Red Mountain Ale","American Amber / Red Ale",551,12,551,"Silverton Brewery",Silverton," CO"
162,"Paddy Pale Ale","American Pale Ale (APA)",361,12,361,"Wild Onion Brewing Company","Lake Barrington"," IL"
165,"White Ale",Witbier,518,12,518,"New South Brewing Company","Myrtle Beach"," SC"
166,"Oktoberfest Lager","Märzen / Oktoberfest",371,12,371,"Sly Fox Brewing Company",Pottstown," PA"
168,"Summer Honey","American Blonde Ale",336,12,336,"Big Sky Brewing Company",Missoula," MT"
169,"Horny Toad Cerveza (2013)","American Blonde Ale",182,16,182,"COOP Ale Works","Oklahoma City"," OK"
170,"Native Amber (2013)","American Amber / Red Ale",182,16,182,"COOP Ale Works","Oklahoma City"," OK"
171,"Louie’s Demise Immort-Ale (2010)","American Amber / Red Ale",284,16,284,"Milwaukee Brewing Company",Milwaukee," WI"
172,"Flaming Damsel Lager (2010)","Vienna Lager",284,16,284,"Milwaukee Brewing Company",Milwaukee," WI"
173,"Back in Black","American Black Ale",368,12,368,"21st Amendment Brewery","San Francisco"," CA"
174,"Mickey Finn's Amber Ale","American Amber / Red Ale",552,12,552,"Mickey Finn's Brewery",Libertyville," IL"
178,"Sunbru Kölsch",Kölsch,160,12,160,"Four Peaks Brewing Company",Tempe," AZ"
179,"Kilt Lifter Scottish-Style Ale (2009)","Scottish Ale",160,12,160,"Four Peaks Brewing Company",Tempe," AZ"
180,"Island Wheat","American Pale Wheat Ale",192,12,192,"Capital Brewery",Middleton," WI"
181,"Beltian White",Witbier,535,12,535,"Harvest Moon Brewing Company",Belt," MT"
