id,name,style,brewery_id,ounces,brewery_id,brewery_name,city,state
669,"Trebuchet Double IPA (2012)","Belgian IPA",10,16,10,"Brewery Vivant","Grand Rapids"," MI"
670,"Vivant Tripel (2012)",Tripel,10,16,10,"Brewery Vivant","Grand Rapids"," MI"
671,"Zaison (2012)","Saison / Farmhouse Ale",10,16,10,"Brewery Vivant","Grand Rapids"," MI"
672,"Hop A Potamus Double Dark Rye Pale Ale","Rye Beer",365,16,365,"Great River Brewery",Davenport," IA"
673,"Dottie Seattle Lager","American Amber / Red Lager",516,16,516,"Emerald City Beer Company",Seattle," WA"
674,"Quick Wit Belgianesque Ale",Witbier,206,16,206,"Fort George Brewery",Astoria," OR"
676,"Halcyon Unfiltered Wheat","American Pale Wheat Ale",45,16,45,"Tallgrass Brewing Company",Manhattan," KS"
677,"Big Red Coq (2012)","American Amber / Red Ale",10,16,10,"Brewery Vivant","Grand Rapids"," MI"
680,"Boater Beer","German Pilsener",369,16,369,"Eddyline Brewery & Restaurant","Buena Vista"," CO"
681,"Summertime Ale",Kölsch,472,16,472,"Crystal Springs Brewing Company",Boulder," CO"
682,"Mjolnir Imperial IPA","American Double / Imperial IPA",201,16,201,"Fearless Brewing Company",Estacada," OR"
683,"Upslope Belgian Style Pale Ale","Belgian Pale Ale",51,12,51,"Upslope Brewing Company",Boulder," CO"
684,"Drop Dead Blonde","American Blonde Ale",131,12,131,"Stevens Point Brewery","Stevens Point"," WI"
685,"Lava Lake Wit",Witbier,63,12,63,"Crazy Mountain Brewing Company",Edwards," CO"
686,"Saranac White IPA","American IPA",299,12,299,"Matt Brewing Company",Utica," NY"
687,"Chomolungma Honey Nut Brown Ale","English Brown Ale",92,12,92,"Jackie O's Pub & Brewery",Athens," OH"
688,"Firefly Amber Ale","American Amber / Red Ale",92,12,92,"Jackie O's Pub & Brewery",Athens," OH"
689,"Mystic Mama IPA","American IPA",92,12,92,"Jackie O's Pub & Brewery",Athens," OH"
690,"Sobrehumano Palena'ole","American Amber / Red Ale",375,12,375,"Maui Brewing Company",Lahaina," HI"
691,"Walloon (2014)","Saison / Farmhouse Ale",118,12,118,"Southern Star Brewing Company",Conroe," TX"
692,"Blue Point White IPA","American White IPA",489,12,489,"Blue Point Brewing Company",Patchogue," NY"
693,"Flying Jenny Extra Pale Ale (2012)","American Pale Ale (APA)",379,12,379,"Grey Sail Brewing of Rhode Island",Westerly," RI"
694,"Cache La Porter","American Porter",441,16,441,"Pateros Creek Brewing Company","Fort Collins"," CO"
695,"Car 21","English Bitter",441,16,441,"Pateros Creek Brewing Company","Fort Collins"," CO"
696,"Old Town Ale",Kölsch,441,16,441,"Pateros Creek Brewing Company","Fort Collins"," CO"
697,"Stimulator Pale Ale","American Pale Ale (APA)",441,16,441,"Pateros Creek Brewing Company","Fort Collins"," CO"
698,"Indians Victory Lager (2012)","Dortmunder / Export Lager",25,16,25,"Sun King Brewing Company",Indianapolis," IN"
699,"Session '33 (2011)","American Pale Lager",366,12,366,"Mustang Brewing Company",Mustang," OK"
700,"The Farmer's Daughter","American Blonde Ale",456,16,456,"Lucette Brewing Company",Menominie," WI"
702,"Hot Rod Red","American Amber / Red Ale",360,12,360,"Aviator Brewing Company",Fuquay-Varina," NC"
704,"Devils Tramping Ground Tripel",Tripel,360,12,360,"Aviator Brewing Company",Fuquay-Varina," NC"
705,"Hog Wild India Pale Ale","American IPA",360,12,360,"Aviator Brewing Company",Fuquay-Varina," NC"
706,"Jessie's Garage","American Pale Ale (APA)",386,16,386,"Revolution Brewing",Paonia," CO"
707,"Celsius Summer Ale (2012)","American Pale Wheat Ale",292,12,292,"Baxter Brewing Company",Lewiston," ME"
708,"Vienna Lager","Vienna Lager",386,16,386,"Revolution Brewing",Paonia," CO"
709,"Miner's Gold","American Blonde Ale",386,16,386,"Revolution Brewing",Paonia," CO"
710,"Rye Porter","American Porter",386,16,386,"Revolution Brewing",Paonia," CO"
711,"Over the Rail Pale Ale","American Pale Ale (APA)",135,12,135,"Pug Ryan's Brewery",Dillon," CO"
712,"Liquid Breadfruit","Fruit / Vegetable Beer",375,12,375,"Maui Brewing Company",Lahaina," HI"
713,"Aloha B’ak’tun","Belgian Strong Dark Ale",375,12,375,"Maui Brewing Company",Lahaina," HI"
715,"Long Day Lager","Czech Pilsener",475,12,475,"Red Hare Brewing Company",Marietta," GA"
716,"Trigger Blonde Ale","American Blonde Ale",515,16,515,"Crabtree Brewing Company",Greeley," CO"
717,"Monkey Paw Oatmeal Pale Ale","American Pale Ale (APA)",514,16,514,"Monkey Paw Pub & Brewery","San Diego"," CA"
718,"Rich Man's IIPA","American Double / Imperial IPA",514,16,514,"Monkey Paw Pub & Brewery","San Diego"," CA"
719,"Sweet Georgia Brown","American Brown Ale",514,16,514,"Monkey Paw Pub & Brewery","San Diego"," CA"
720,"15th Anniversary Abbey Ale (2012)","Belgian Dark Ale",166,16,166,"Oskar Blues Brewery",Longmont," CO"
724,"Hilliard's Blonde","American Blonde Ale",362,16,362,"Hilliard's Beer",Seattle," WA"
725,"Cant Dog Imperial Pale Ale","American Double / Imperial IPA",317,16,317,"Marshall Wharf Brewing Company",Belfast," ME"
726,"G'KNIGHT (16 oz.)","American Double / Imperial IPA",166,16,166,"Oskar Blues Brewery",Longmont," CO"
727,"Shipyard Export","American Blonde Ale",385,12,385,"Shipyard Brewing Company",Portland," ME"
728,"Day Tripper Pale Ale","American Pale Ale (APA)",277,12,277,"Indeed Brewing Company",Minneapolis," MN"
729,"Midnight Ryder","American Black Ale",277,12,277,"Indeed Brewing Company",Minneapolis," MN"
730,"California Sunshine Rye IPA","American IPA",491,16,491,"Devil's Canyon Brewery",Belmont," CA"
731,"Kaleidoscope Collaboration 2012","American Black Ale",491,16,491,"Devil's Canyon Brewery",Belmont," CA"
733,"Gordon Beer (2006)","American Double / Imperial IPA",503,12,503,"Oskar Blues Brewery",Lyons," CO"
734,"Leroy (2005)","American Brown Ale",503,12,503,"Oskar Blues Brewery",Lyons," CO"
735,"On-On Ale (2008)","American Pale Ale (APA)",513,12,513,"Arctic Craft Brewery","Colorado Springs"," CO"
736,"Ornery Amber Lager (2003)","Vienna Lager",291,12,291,"Tommyknocker Brewery","Idaho Springs"," CO"
737,"Chester's Beer (2005)","American Pale Lager",512,12,512,"Cottrell Brewing",Pawcatuck," CT"
738,"Archer's Ale (2004)","English Pale Ale",511,12,511,"Sherwood Forest Brewers",Marlborough," MA"
739,"Indianapolis Indians Lager","Dortmunder / Export Lager",25,16,25,"Sun King Brewing Company",Indianapolis," IN"
740,"Hop Slayer Double IPA (2011)","American Double / Imperial IPA",361,12,361,"Wild Onion Brewing Company","Lake Barrington"," IL"
741,"Dale's Pale Ale (2002)","American Pale Ale (APA)",503,12,503,"Oskar Blues Brewery",Lyons," CO"
742,"Dale's Pale Ale (2003)","American Pale Ale (APA)",503,12,503,"Oskar Blues Brewery",Lyons," CO"
743,"Dale's Pale Ale (2004)","American Pale Ale (APA)",503,12,503,"Oskar Blues Brewery",Lyons," CO"
744,"Dale's Pale Ale (2006)","American Pale Ale (APA)",503,12,503,"Oskar Blues Brewery",Lyons," CO"
745,"Dale's Pale Ale (2008)","American Pale Ale (APA)",503,12,503,"Oskar Blues Brewery",Lyons," CO"
746,"CuDa Cascadian Dark Ale (2012)","American Black Ale",387,16,387,"Natian Brewery",Portland," OR"
747,"Old Grogham Imperial India Pale Ale (2012)","American Double / Imperial IPA",387,16,387,"Natian Brewery",Portland," OR"
748,"Fat Tire Amber Ale (2011)","American Amber / Red Ale",82,12,82,"New Belgium Brewing Company","Fort Collins"," CO"
749,"Wolf Among Weeds IPA (2012)","American IPA",240,16,240,"Golden Road Brewing","Los Angeles"," CA"
750,"Burning Bush Smoked IPA","American IPA",240,16,240,"Golden Road Brewing","Los Angeles"," CA"
751,"Hurricane Amber Ale (2004)","American Amber / Red Ale",101,12,101,"Coastal Extreme Brewing Company",Newport," RI"
753,"Summer Solstice Cerveza Crema (2009)","Cream Ale",171,12,171,"Anderson Valley Brewing Company",Boonville," CA"
754,"Dale's Pale Ale (2010)","American Pale Ale (APA)",166,12,166,"Oskar Blues Brewery",Longmont," CO"
755,"Dale's Pale Ale (2011)","American Pale Ale (APA)",166,12,166,"Oskar Blues Brewery",Longmont," CO"
756,"Brooklyn Summer Ale","English Pale Mild Ale",437,12,437,"Brooklyn Brewery",Brooklyn," NY"
757,"Atlantic Amber Ale (2004)","American Amber / Red Ale",410,12,410,"New England Brewing Company",Woodbridge," CT"
758,"Double Haul IPA (2006)","American IPA",510,16,510,"Kettle House Brewing Company",Missoula," MT"
759,"Double Haul IPA (2009)","American IPA",510,16,510,"Kettle House Brewing Company",Missoula," MT"
760,"Cold Smoke Scotch Ale (2007)","Scotch Ale / Wee Heavy",510,16,510,"Kettle House Brewing Company",Missoula," MT"
761,"P-51 Porter","American Porter",509,16,509,"Wingman Brewers",Tacoma," WA"
762,"Ace IPA","American IPA",509,16,509,"Wingman Brewers",Tacoma," WA"
763,"Hopluia (2004)","English India Pale Ale (IPA)",508,16,508,"Spilker Ales",Cortland," NE"
764,"American Idiot Ale (2012)","American Pale Ale (APA)",30,12,30,"SanTan Brewing Company",Chandler," AZ"
765,"Buffalo Sweat","Milk / Sweet Stout",45,16,45,"Tallgrass Brewing Company",Manhattan," KS"
766,"Montana Trout Slayer Ale (2012)","American Pale Wheat Ale",336,12,336,"Big Sky Brewing Company",Missoula," MT"
767,"Moose Drool Brown Ale (2011)","American Brown Ale",336,12,336,"Big Sky Brewing Company",Missoula," MT"
768,"Full Moon Belgian White Ale",Witbier,507,12,507,"Mudshark Brewing Company","Lake Havasu City"," AZ"
769,"Harpoon Summer Beer (2012)",Kölsch,234,12,234,"Harpoon Brewery",Boston," MA"
770,"Harpoon IPA (2012)","American IPA",234,12,234,"Harpoon Brewery",Boston," MA"
772,"Point Nude Beach Summer Wheat (2011)","American Pale Wheat Ale",131,12,131,"Stevens Point Brewery","Stevens Point"," WI"
773,"Blueberry Blonde Ale","American Blonde Ale",299,12,299,"Matt Brewing Company",Utica," NY"
774,"Autumnal Molé Stout","American Stout",264,12,264,"Ska Brewing Company",Durango," CO"
775,"Mutton Buster","American Brown Ale",307,12,307,"Payette Brewing Company","Garden City"," ID"
776,O-Gii,Witbier,284,16,284,"Milwaukee Brewing Company",Milwaukee," WI"
777,"Mr. Pineapple","Fruit / Vegetable Beer",30,12,30,"SanTan Brewing Company",Chandler," AZ"
778,Brownstone,"American Brown Ale",46,16,46,"Sixpoint Craft Ales",Brooklyn," NY"
779,"November Gale Pale Ale","American Pale Ale (APA)",84,12,84,"Keweenaw Brewing Company",Houghton," MI"
780,"T-6 Red Ale (2004)","American Amber / Red Ale",506,12,506,"Warbird Brewing Company","Fort Wayne"," IN"
781,"Choc Beer (2003)","American Dark Wheat Ale",505,12,505,"Krebs Brewing Company (Pete's Pl...",Krebs," OK"
782,"Carolina Blonde Light (2005)","American Blonde Ale",504,12,504,"Carolina Beer & Beverage",Mooresville," NC"
783,"Carolina Blonde (2006)","American Blonde Ale",504,12,504,"Carolina Beer & Beverage",Mooresville," NC"
784,"Carolina Lighthouse (2007)","American Blonde Ale",504,12,504,"Carolina Beer & Beverage",Mooresville," NC"
785,"Old Chub (2003)","Scottish Ale",503,12,503,"Oskar Blues Brewery",Lyons," CO"
786,"Old Chub (2004)","Scottish Ale",503,12,503,"Oskar Blues Brewery",Lyons," CO"
787,"Old Chub (2008)","Scottish Ale",503,12,503,"Oskar Blues Brewery",Lyons," CO"
788,"Caldera Pale Ale (2007)","American Pale Ale (APA)",155,12,155,"Caldera Brewing Company",Ashland," OR"
789,"Caldera Pale Ale (2005)","American Pale Ale (APA)",155,12,155,"Caldera Brewing Company",Ashland," OR"
790,"Caldera Pale Ale (2009)","American Pale Ale (APA)",155,12,155,"Caldera Brewing Company",Ashland," OR"
791,"Caldera Pale Ale (2010)","American Pale Ale (APA)",155,12,155,"Caldera Brewing Company",Ashland," OR"
792,"Caldera IPA (2007)","American IPA",155,12,155,"Caldera Brewing Company",Ashland," OR"
793,"Caldera IPA (2009)","American IPA",155,12,155,"Caldera Brewing Company",Ashland," OR"
794,"Ashland Amber Ale (2009)","American Amber / Red Ale",155,12,155,"Caldera Brewing Company",Ashland," OR"
796,"Brew Free! or Die IPA (2009)","American IPA",368,12,368,"21st Amendment Brewery","San Francisco"," CA"
797,"Brew Free! or Die IPA (2008)","American IPA",368,12,368,"21st Amendment Brewery","San Francisco"," CA"
798,"Brush Creek Blonde","American Blonde Ale",107,16,107,"Bonfire Brewing Company",Eagle," CO"
799,"21st Amendment IPA (2006)","American IPA",368,12,368,"21st Amendment Brewery","San Francisco"," CA"
800,"21st Amendment Watermelon Wheat Beer (2006)","Fruit / Vegetable Beer",368,12,368,"21st Amendment Brewery","San Francisco"," CA"
801,"Hell or High Watermelon Wheat (2009)","Fruit / Vegetable Beer",368,12,368,"21st Amendment Brewery","San Francisco"," CA"
802,"Hell or High Watermelon Wheat (2009)","Fruit / Vegetable Beer",368,12,368,"21st Amendment Brewery","San Francisco"," CA"
803,"Ten Fidy Imperial Stout (2007)","Russian Imperial Stout",503,12,503,"Oskar Blues Brewery",Lyons," CO"
804,"Ten Fidy Imperial Stout (2008)","Russian Imperial Stout",503,12,503,"Oskar Blues Brewery",Lyons," CO"
805,"Gordon (2005)","American Double / Imperial IPA",503,12,503,"Oskar Blues Brewery",Lyons," CO"
806,"Gordon Imperial Red (2010)","American Double / Imperial IPA",166,12,166,"Oskar Blues Brewery",Longmont," CO"
807,"Rail Yard Ale","American Amber / Red Ale",424,12,424,"Wynkoop Brewing Company",Denver," CO"
808,"Hoopla Pale Ale","American Pale Ale (APA)",417,12,417,"Boulder Beer Company",Boulder," CO"
809,"Cut Throat Pale Ale","American Pale Ale (APA)",256,16,256,"Finch's Beer Company",Chicago," IL"
811,"Boont Amber Ale (2010)","American Amber / Red Ale",171,12,171,"Anderson Valley Brewing Company",Boonville," CA"
813,"Ambitious Lager","Munich Helles Lager",499,16,499,"Wildwood Brewing Company",Stevensville," MT"
814,"Pumpkinhead Ale","Pumpkin Ale",385,12,385,"Shipyard Brewing Company",Portland," ME"
815,"Sea Dog Wild Blueberry Wheat Ale","Fruit / Vegetable Beer",502,12,502,"Sea Dog Brewing Company",Portland," ME"
816,"Point Nude Beach Summer Wheat","American Pale Wheat Ale",131,12,131,"Stevens Point Brewery","Stevens Point"," WI"
822,"Woodchuck Amber Hard Cider",Cider,501,12,501,"Woodchuck Hard Cider",Middlebury," VT"
823,"Jack's Hard Cider",Cider,416,12,416,"Jack's Hard Cider (Hauser Estate...",Biglerville," PA"
824,"Tonganoxie Honey Wheat","American Pale Wheat Ale",500,12,500,"High Noon Saloon And Brewery",Leavenworth," KS"
825,"Bodacious Bock",Bock,499,16,499,"Wildwood Brewing Company",Stevensville," MT"
826,"Mystical Stout","Irish Dry Stout",499,16,499,"Wildwood Brewing Company",Stevensville," MT"
827,"Tempter IPA","American IPA",480,12,480,"Telluride Brewing Company",Telluride," CO"
828,"Dale's Pale Ale (2012)","American Pale Ale (APA)",166,12,166,"Oskar Blues Brewery",Longmont," CO"
829,"Duckpin Pale Ale","American Pale Ale (APA)",71,12,71,"Union Craft Brewing",Baltimore," MD"
830,"Firemans #4 Blonde Ale (2015)","American Blonde Ale",128,12,128,"Real Ale Brewing Company",Blanco," TX"
837,"Desolation IPA","American IPA",401,16,401,"Amnesia Brewing Company",Washougal," WA"
839,"Rail Slide Imperial Spiced Ale","Herbed / Spiced Beer",30,12,30,"SanTan Brewing Company",Chandler," AZ"
840,"Wisconsin Amber (1998)","Vienna Lager",192,12,192,"Capital Brewery",Middleton," WI"
845,"Marble India Pale Ale","American IPA",443,12,443,"Marble Brewery",Albuquerque," NM"
846,"Black Walnut Wheat","American Dark Wheat Ale",314,16,314,"Piney River Brewing Company",Bucryus," MO"
847,"Old Tom Porter","American Porter",314,16,314,"Piney River Brewing Company",Bucryus," MO"
849,"Meat Wave","English India Pale Ale (IPA)",327,16,327,"Half Acre Beer Company",Chicago," IL"
850,"Devil’s Ale","American Pale Ale (APA)",30,12,30,"SanTan Brewing Company",Chandler," AZ"
851,"On the Wings of Armageddon","American Double / Imperial IPA",227,12,227,"DC Brau Brewing Company",Washington," DC"
852,"Sex Panther (2014)","American Porter",30,12,30,"SanTan Brewing Company",Chandler," AZ"
853,"PRO-AM (2012) (2012)","American Double / Imperial IPA",118,12,118,"Southern Star Brewing Company",Conroe," TX"
855,"Special Amber","Vienna Lager",498,12,498,"Sprecher Brewing Company",Glendale," WI"
856,"Bombshell Blonde","American Blonde Ale",118,16,118,"Southern Star Brewing Company",Conroe," TX"
857,"Interurban IPA","American IPA",460,12,460,"Fremont Brewing Company",Seattle," WA"
858,"Universale Pale Ale","American Pale Ale (APA)",460,12,460,"Fremont Brewing Company",Seattle," WA"
860,"Vivant Belgian Style Imperial Stout (2012)","Russian Imperial Stout",10,16,10,"Brewery Vivant","Grand Rapids"," MI"
861,"Cane and Ebel","American Strong Ale",74,12,74,"Two Brothers Brewing Company",Warrenville," IL"
862,"Mustang '33","American Pale Lager",366,12,366,"Mustang Brewing Company",Mustang," OK"
863,"483 Pale Ale","American Pale Ale (APA)",365,16,365,"Great River Brewery",Davenport," IA"
864,"Roller Dam Red Ale","Irish Red Ale",365,16,365,"Great River Brewery",Davenport," IA"
865,"Widespread Wit",Witbier,365,16,365,"Great River Brewery",Davenport," IA"
866,"British Pale Ale (2010)","English Pale Ale",481,16,481,"7 Seas Brewing Company","Gig Harbor"," WA"
867,"THP Dark (2006)","English Dark Mild Ale",497,12,497,"Cans Bar and Canteen",Charlotte," NC"
868,"THP Light (2006)","American Blonde Ale",497,12,497,"Cans Bar and Canteen",Charlotte," NC"
869,"THP Amber (2006)","American Amber / Red Ale",497,12,497,"Cans Bar and Canteen",Charlotte," NC"
870,"THP White (2006)",Witbier,497,12,497,"Cans Bar and Canteen",Charlotte," NC"
871,"Dry Dock Amber Ale","American Amber / Red Ale",496,12,496,"Dry Dock Brewing Company",Aurora," CO"
872,"Dry Dock Hefeweizen",Hefeweizen,496,12,496,"Dry Dock Brewing Company",Aurora," CO"
873,"Contemplation (2012)","Bière de Garde",10,16,10,"Brewery Vivant","Grand Rapids"," MI"
874,"Sun King Oktoberfest","Märzen / Oktoberfest",25,16,25,"Sun King Brewing Company",Indianapolis," IN"
875,"Fremont Summer Ale","American Pale Ale (APA)",460,12,460,"Fremont Brewing Company",Seattle," WA"
876,"Bitter American","American Pale Ale (APA)",368,12,368,"21st Amendment Brewery","San Francisco"," CA"
877,"Draught Hard Apple Cider",Cider,338,16,338,"Uncle John's Fruit House Winery","St. John's"," MI"
878,"Lawnmower Lager","American Adjunct Lager",155,12,155,"Caldera Brewing Company",Ashland," OR"
879,"Dagger Falls IPA","American IPA",309,12,309,"Sockeye Brewing Company",Boise," ID"
880,"Apricot Blonde","Fruit / Vegetable Beer",496,12,496,"Dry Dock Brewing Company",Aurora," CO"
881,"Hop Abomination","American IPA",496,12,496,"Dry Dock Brewing Company",Aurora," CO"
882,"1881 California Red Ale","American Amber / Red Ale",397,16,397,"Ruhstaller Beer Company",Sacramento," CA"
883,"CAPT Black IPA","American Black Ale",397,16,397,"Ruhstaller Beer Company",Sacramento," CA"
884,"Elm City Pilsner","American Pilsner",410,12,410,"New England Brewing Company",Woodbridge," CT"
885,"Sea Hag IPA","American IPA",410,12,410,"New England Brewing Company",Woodbridge," CT"
886,"1327 Pod's ESB","Extra Special / Strong Bitter (ESB)",380,12,380,"Blue Blood Brewing Company",Lincoln," NE"
888,"1327 Pod's ESB","Extra Special / Strong Bitter (ESB)",380,12,380,"Blue Blood Brewing Company",Lincoln," NE"
889,"Hilliard's Pils","Czech Pilsener",362,16,362,"Hilliard's Beer",Seattle," WA"
890,"Payette Pale Ale","American Pale Ale (APA)",307,12,307,"Payette Brewing Company","Garden City"," ID"
891,"Overbite IPA","American IPA",301,16,301,"Old Forge Brewing Company",Danville," PA"
892,"Dale's Pale Ale (10 Year Anniversary)","American Pale Ale (APA)",166,12,166,"Oskar Blues Brewery",Longmont," CO"
893,"Wheat the People","American Pale Wheat Ale",418,16,418,"Coalition Brewing Company",Portland," OR"
894,"Odyssey Imperial IPA","American Double / Imperial IPA",371,12,371,"Sly Fox Brewing Company",Pottstown," PA"
895,"Loki Red Ale (2013)","American Amber / Red Ale",201,16,201,"Fearless Brewing Company",Estacada," OR"
899,"Rochester Red Ale","American Amber / Red Ale",229,16,229,"Rochester Mills Brewing Company",Rochester," MI"
900,"Celestial Blonde Ale","American Blonde Ale",301,16,301,"Old Forge Brewing Company",Danville," PA"
901,"Harvest Ale","Saison / Farmhouse Ale",460,12,460,"Fremont Brewing Company",Seattle," WA"
902,"Dead Horse Amber","American Pale Wheat Ale",399,16,399,"Moab Brewery",Moab," UT"
904,"Ex Umbris Rye Imperial Stout","American Double / Imperial Stout",423,16,423,"Hess Brewing Company","San Diego"," CA"
906,"Upslope Pumpkin Ale","Pumpkin Ale",51,16,51,"Upslope Brewing Company",Boulder," CO"
907,"Upslope Christmas Ale","Winter Warmer",51,16,51,"Upslope Brewing Company",Boulder," CO"
908,Pumpkan,"Pumpkin Ale",295,12,295,"Wachusett Brewing Company",Westminster," MA"
909,"Escoffier Bretta Ale","American Wild Ale",10,16,10,"Brewery Vivant","Grand Rapids"," MI"
910,"Hayride Autumn Ale","Rye Beer",292,12,292,"Baxter Brewing Company",Lewiston," ME"
911,"Mountain Fairy Raspberry Wheat","Fruit / Vegetable Beer",369,16,369,"Eddyline Brewery & Restaurant","Buena Vista"," CO"
912,Oasis,"Extra Special / Strong Bitter (ESB)",45,16,45,"Tallgrass Brewing Company",Manhattan," KS"
913,"Newburyport Pale Ale","American Pale Ale (APA)",495,12,495,"Newburyport Brewing Company",Newburyport," MA"
914,"Plum Island Belgian White",Witbier,495,12,495,"Newburyport Brewing Company",Newburyport," MA"
915,"Green Head IPA","American IPA",495,12,495,"Newburyport Brewing Company",Newburyport," MA"
916,"Abominable Winter Ale (2012)","American Strong Ale",80,16,80,"Hopworks Urban Brewery",Portland," OR"
917,"Becky's Black Cat Porter","American Porter",494,16,494,"Seven Brides Brewery",Silverton," OR"
918,"Frankenlou's IPA","American IPA",494,16,494,"Seven Brides Brewery",Silverton," OR"
919,"Chugach Session Ale","Cream Ale",493,12,493,"Broken Tooth Brewing Company",Anchorage," AK"
920,"Polar Pale Ale","American Pale Ale (APA)",493,12,493,"Broken Tooth Brewing Company",Anchorage," AK"
921,"Northern Lights Amber Ale","American Amber / Red Ale",493,12,493,"Broken Tooth Brewing Company",Anchorage," AK"
922,"Sunsplash Golden Ale (2004)","American Blonde Ale",492,12,492,"Stone Coast Brewing Company",Portland," ME"
923,"The Velvet Fog","Quadrupel (Quad)",25,16,25,"Sun King Brewing Company",Indianapolis," IN"
924,"Deadicated Amber","American Amber / Red Ale",491,16,491,"Devil's Canyon Brewery",Belmont," CA"
925,"Lily Flagg Milk Stout","Milk / Sweet Stout",412,12,412,"Straight to Ale",Huntsville," AL"
926,"Sly Fox Christmas Ale 2012 (2012)","Winter Warmer",371,12,371,"Sly Fox Brewing Company",Pottstown," PA"
927,"Dirty Hippie Dark Wheat","American Dark Wheat Ale",341,12,341,"Palisade Brewing Company",Palisade," CO"
928,Belgorado,"Belgian IPA",424,12,424,"Wynkoop Brewing Company",Denver," CO"
929,"Single Engine Red","Irish Red Ale",453,12,453,"Denali Brewing Company",Talkeetna," AK"
930,"Great Crescent Oktoberfest Lager","Märzen / Oktoberfest",165,16,165,"Great Crescent Brewery",Aurora," IN"
931,"Wood Splitter Pilsner (2012)","Czech Pilsener",107,12,107,"Bonfire Brewing Company",Eagle," CO"
932,"Booyah Farmhouse Ale","Saison / Farmhouse Ale",284,16,284,"Milwaukee Brewing Company",Milwaukee," WI"
933,"The Deuce","American Brown Ale",166,16,166,"Oskar Blues Brewery",Longmont," CO"
934,"The Deuce","American Brown Ale",25,16,25,"Sun King Brewing Company",Indianapolis," IN"
935,"Fascist Pig Ale","American Amber / Red Ale",256,16,256,"Finch's Beer Company",Chicago," IL"
936,"Loafin Bräu",Altbier,490,16,490,"Tampa Bay Brewing Company",Tampa," FL"
937,"543 Skull Creek Fresh Hopped Pale Ale","American Pale Ale (APA)",380,12,380,"Blue Blood Brewing Company",Lincoln," NE"
938,"Gangway IPA","American IPA",475,12,475,"Red Hare Brewing Company",Marietta," GA"
939,"Toxic Sludge","American Black Ale",489,16,489,"Blue Point Brewing Company",Patchogue," NY"
940,"Boohai Red Ale","American Amber / Red Ale",63,12,63,"Crazy Mountain Brewing Company",Edwards," CO"
941,"Secret Stache Stout","American Stout",256,16,256,"Finch's Beer Company",Chicago," IL"
942,"1335 Wicked Snout","Saison / Farmhouse Ale",380,12,380,"Blue Blood Brewing Company",Lincoln," NE"
943,"Deep Ellum IPA","American IPA",127,12,127,"Deep Ellum Brewing Company",Dallas," TX"
944,"Dock Street Amber Beer (1992)","American Amber / Red Ale",488,12,488,"Dock Street Brewery",Philadelphia," PA"
945,"Long Hammer IPA","American IPA",487,16,487,"Redhook Brewery",Woodinville," WA"
946,"Dallas Blonde","American Blonde Ale",127,12,127,"Deep Ellum Brewing Company",Dallas," TX"
947,"Twister Creek India Pale Ale","American IPA",453,12,453,"Denali Brewing Company",Talkeetna," AK"
948,"Circuit Bohemian Pilsner","Czech Pilsener",17,16,17,"Tin Man Brewing Company",Evansville," IN"
949,"3 Gear Robust Porter","American Porter",17,16,17,"Tin Man Brewing Company",Evansville," IN"
950,"Rivet Irish Red Ale","Irish Red Ale",17,16,17,"Tin Man Brewing Company",Evansville," IN"
951,Alloy,"American IPA",17,16,17,"Tin Man Brewing Company",Evansville," IN"
952,"Shift (1)","American Pale Lager",82,12,82,"New Belgium Brewing Company","Fort Collins"," CO"
953,"Wisco Disco","American Amber / Red Ale",486,16,486,"Stillmank Beer Company","Green Bay"," WI"
954,"Phantom Punch Winter Stout","Foreign / Export Stout",292,12,292,"Baxter Brewing Company",Lewiston," ME"
955,"Dale's Pale Ale","American Pale Ale (APA)",166,19.2,166,"Oskar Blues Brewery",Longmont," CO"
956,"Pomegranate Wheat (2008)","Fruit / Vegetable Beer",299,12,299,"Matt Brewing Company",Utica," NY"
957,"Saranac Traditional Lager (2000)","American Pale Lager",299,12,299,"Matt Brewing Company",Utica," NY"
958,"DAX Light (1998)","Light Lager",299,12,299,"Matt Brewing Company",Utica," NY"
959,"Saranac Adirondack Light (2002)","Light Lager",299,12,299,"Matt Brewing Company",Utica," NY"
960,"Saranac Golden Pilsener (2003)","German Pilsener",299,12,299,"Matt Brewing Company",Utica," NY"
961,"Mac's Scottish Style Amber Ale (2000)","American Amber / Red Ale",485,12,485,"MacTarnahans Brewing Company",Portland," OR"
962,"Mac's Highlander Pale Ale (2000)","American Pale Ale (APA)",485,12,485,"MacTarnahans Brewing Company",Portland," OR"
963,"Manhattan Gold Lager (1990)","American Amber / Red Lager",484,12,484,"The Manhattan Brewing Company","New York"," NY"
964,"Dank IPA (2012)","American IPA",451,16,451,"Dad & Dude's Breweria",Aurora," CO"
965,"Field 41 Pale Ale","American Pale Ale (APA)",483,12,483,"Bale Breaker Brewing Company",Yakima," WA"
966,"Topcutter India Pale Ale","American IPA",483,12,483,"Bale Breaker Brewing Company",Yakima," WA"
967,"Black IPA","American Black Ale",392,12,392,"Santa Fe Brewing Company","Santa Fe"," NM"
968,"Farmer John's Multi-Grain Ale","American Blonde Ale",482,16,482,"Confluence Brewing Company","Des Moines"," IA"
969,"Capital Gold Golden Lager","German Pilsener",482,16,482,"Confluence Brewing Company","Des Moines"," IA"
